1 -> 1451 | media : 32.714680
2 -> 560 | media : 123.435714
3 -> 189 | media : 752.693122
4 -> 73 | media : 3287.684932
5 -> 33 | media : 1911.242424
6 -> 18 | media : 2619.333333
7 -> 4 | media : 8701.750000
8 -> 6 | media : 3190.333333
9 -> 2 | media : 19859.500000
10 -> 4 | media : 6363.750000
11 -> 7 | media : 2675.285714
12 -> 16 | media : 2327.000000
13 -> 24 | media : 1358.250000
14 -> 41 | media : 1282.195122
15 -> 51 | media : 750.294118
16 -> 55 | media : 695.909091
17 -> 41 | media : 745.853659
18 -> 50 | media : 761.720000
19 -> 44 | media : 804.272727
20 -> 49 | media : 1059.061224
21 -> 36 | media : 913.500000
22 -> 28 | media : 1210.178571
23 -> 11 | media : 3573.818182
24 -> 6 | media : 8689.000000
25 -> 8 | media : 4232.875000
26 -> 1 | media : 32724.000000
278 -> 1 | media : 27599.000000
279 -> 6 | media : 4345.500000
280 -> 4 | media : 8188.000000
281 -> 7 | media : 7453.714286
282 -> 8 | media : 5099.625000
283 -> 13 | media : 2529.692308
284 -> 24 | media : 1701.916667
285 -> 28 | media : 1895.714286
286 -> 31 | media : 2299.193548
287 -> 42 | media : 5156.119048
288 -> 40 | media : 1417.450000
289 -> 51 | media : 750.470588
290 -> 54 | media : 1435.833333
291 -> 43 | media : 1932.372093
292 -> 35 | media : 1093.171429
293 -> 30 | media : 726.900000
294 -> 25 | media : 762.920000
295 -> 17 | media : 1901.352941
296 -> 18 | media : 1874.500000
297 -> 12 | media : 3309.916667
298 -> 7 | media : 1494.857143
299 -> 12 | media : 4874.666667
300 -> 19 | media : 2090.842105
301 -> 29 | media : 1213.758621
302 -> 75 | media : 1072.840000
303 -> 155 | media : 791.458065
304 -> 257 | media : 184.704280
305 -> 260 | media : 570.134615
306 -> 285 | media : 684.796491
307 -> 362 | media : 237.226519
308 -> 290 | media : 738.031034
309 -> 190 | media : 1067.705263
310 -> 207 | media : 1137.666667
311 -> 99 | media : 4066.141414
312 -> 52 | media : 1887.980769
313 -> 13 | media : 2860.076923
314 -> 2 | media : 18533.000000
