1 -> 714 | media : 66.436975
2 -> 309 | media : 152.025890
3 -> 131 | media : 630.534351
4 -> 60 | media : 2243.900000
5 -> 22 | media : 2128.454545
6 -> 5 | media : 9395.800000
7 -> 9 | media : 5238.666667
8 -> 8 | media : 4368.500000
9 -> 1 | media : 39724.000000
13 -> 1 | media : 8017.000000
14 -> 4 | media : 4876.000000
15 -> 7 | media : 5465.857143
16 -> 7 | media : 5467.000000
17 -> 2 | media : 5511.500000
18 -> 2 | media : 9761.500000
19 -> 1 | media : 19319.000000
25 -> 1 | media : 19304.000000
282 -> 1 | media : 19304.000000
288 -> 1 | media : 19319.000000
289 -> 1 | media : 19360.000000
290 -> 3 | media : 6464.666667
291 -> 3 | media : 6507.666667
292 -> 1 | media : 19431.000000
293 -> 5 | media : 7653.800000
294 -> 7 | media : 5465.857143
295 -> 2 | media : 19111.500000
296 -> 2 | media : 23113.000000
301 -> 3 | media : 13241.333333
302 -> 7 | media : 5342.571429
303 -> 10 | media : 5339.300000
304 -> 24 | media : 2026.750000
305 -> 71 | media : 1021.845070
306 -> 114 | media : 535.903509
307 -> 162 | media : 389.407407
308 -> 207 | media : 724.565217
309 -> 259 | media : 414.602317
310 -> 209 | media : 1778.918660
311 -> 139 | media : 3595.136691
312 -> 83 | media : 2336.204819
313 -> 41 | media : 915.682927
314 -> 19 | media : 11240.157895
315 -> 4 | media : 16074.500000
