1 -> 544 | media : 87.200368
2 -> 259 | media : 181.378378
3 -> 94 | media : 878.021277
4 -> 53 | media : 2756.603774
5 -> 25 | media : 1873.000000
6 -> 5 | media : 9395.600000
7 -> 9 | media : 5238.666667
8 -> 8 | media : 4368.625000
302 -> 1 | media : 35037.000000
303 -> 5 | media : 10635.000000
304 -> 14 | media : 3276.928571
305 -> 38 | media : 1680.473684
306 -> 75 | media : 1135.626667
307 -> 95 | media : 589.431579
308 -> 135 | media : 731.481481
309 -> 196 | media : 458.387755
310 -> 202 | media : 1585.168317
311 -> 177 | media : 1772.265537
312 -> 115 | media : 2624.165217
313 -> 63 | media : 737.158730
314 -> 22 | media : 11638.090909
315 -> 3 | media : 13490.333333
