1 -> 158427 | media : 1.897618
2 -> 99420 | media : 4.948542
3 -> 55003 | media : 4.672018
4 -> 34710 | media : 5.607894
5 -> 25670 | media : 47.140242
6 -> 19785 | media : 21.477584
7 -> 16187 | media : 17.777105
8 -> 13432 | media : 48.782534
9 -> 11486 | media : 20.544141
10 -> 9502 | media : 48.667754
11 -> 8061 | media : 23.712319
12 -> 6760 | media : 43.752811
13 -> 5602 | media : 49.188683
14 -> 4458 | media : 73.304621
15 -> 3641 | media : 73.973634
16 -> 3068 | media : 46.790091
17 -> 2633 | media : 80.120395
18 -> 2304 | media : 88.232639
19 -> 1879 | media : 81.507185
20 -> 1588 | media : 89.192695
21 -> 1263 | media : 162.378464
22 -> 1127 | media : 130.968057
23 -> 964 | media : 132.896266
24 -> 882 | media : 174.735828
25 -> 766 | media : 230.284595
26 -> 723 | media : 154.154910
27 -> 607 | media : 162.751236
28 -> 581 | media : 172.142857
29 -> 437 | media : 172.048055
30 -> 359 | media : 209.495822
31 -> 307 | media : 408.342020
32 -> 218 | media : 255.366972
33 -> 188 | media : 287.893617
34 -> 161 | media : 316.204969
35 -> 129 | media : 329.124031
36 -> 128 | media : 345.250000
37 -> 116 | media : 236.120690
38 -> 89 | media : 486.775281
39 -> 71 | media : 361.605634
40 -> 59 | media : 720.389831
41 -> 58 | media : 230.482759
42 -> 35 | media : 507.771429
43 -> 53 | media : 219.264151
44 -> 40 | media : 380.375000
45 -> 54 | media : 280.888889
46 -> 55 | media : 287.981818
47 -> 53 | media : 385.698113
48 -> 50 | media : 208.680000
49 -> 46 | media : 228.565217
50 -> 36 | media : 337.805556
51 -> 29 | media : 281.000000
52 -> 42 | media : 228.142857
53 -> 55 | media : 289.727273
54 -> 55 | media : 111.381818
55 -> 55 | media : 332.745455
56 -> 42 | media : 230.047619
57 -> 22 | media : 114.681818
58 -> 40 | media : 150.375000
59 -> 36 | media : 153.805556
60 -> 52 | media : 96.711538
61 -> 61 | media : 169.442623
62 -> 65 | media : 85.276923
63 -> 64 | media : 160.718750
64 -> 94 | media : 79.787234
65 -> 88 | media : 28.193182
66 -> 80 | media : 54.475000
67 -> 67 | media : 142.895522
68 -> 83 | media : 75.361446
69 -> 95 | media : 55.357895
70 -> 96 | media : 68.156250
71 -> 114 | media : 52.342105
72 -> 108 | media : 54.851852
73 -> 120 | media : 49.175000
74 -> 129 | media : 71.240310
75 -> 125 | media : 77.152000
76 -> 143 | media : 116.552448
77 -> 143 | media : 96.027972
78 -> 134 | media : 104.335821
79 -> 168 | media : 128.571429
80 -> 159 | media : 176.729560
81 -> 179 | media : 131.290503
82 -> 191 | media : 114.418848
83 -> 180 | media : 110.616667
84 -> 194 | media : 148.041237
85 -> 236 | media : 90.169492
86 -> 250 | media : 108.212000
87 -> 299 | media : 195.849498
88 -> 289 | media : 85.847751
89 -> 264 | media : 83.431818
90 -> 242 | media : 176.119835
91 -> 254 | media : 130.220472
92 -> 282 | media : 106.500000
93 -> 298 | media : 200.939597
94 -> 333 | media : 82.621622
95 -> 327 | media : 85.189602
96 -> 356 | media : 128.140449
97 -> 390 | media : 159.674359
98 -> 385 | media : 127.548052
99 -> 441 | media : 128.387755
100 -> 507 | media : 93.816568
101 -> 471 | media : 81.600849
102 -> 499 | media : 161.040080
103 -> 517 | media : 133.916828
104 -> 577 | media : 220.279029
105 -> 561 | media : 143.438503
106 -> 592 | media : 197.697635
107 -> 655 | media : 95.441221
108 -> 716 | media : 116.276536
109 -> 757 | media : 109.501982
110 -> 756 | media : 141.485450
111 -> 783 | media : 96.212005
112 -> 814 | media : 103.604423
113 -> 812 | media : 184.466749
114 -> 839 | media : 141.923719
115 -> 888 | media : 115.807432
116 -> 861 | media : 157.846690
117 -> 928 | media : 128.731681
118 -> 1013 | media : 105.699901
119 -> 1015 | media : 79.060099
120 -> 1117 | media : 129.239033
121 -> 1083 | media : 154.366574
122 -> 1167 | media : 142.313625
123 -> 1225 | media : 115.012245
124 -> 1303 | media : 119.501919
125 -> 1314 | media : 85.815068
126 -> 1347 | media : 84.826281
127 -> 1399 | media : 125.440315
128 -> 1450 | media : 78.937241
129 -> 1410 | media : 67.781560
130 -> 1500 | media : 77.735333
131 -> 1616 | media : 129.101485
132 -> 1662 | media : 123.231649
133 -> 1765 | media : 91.293484
134 -> 1840 | media : 107.341304
135 -> 1873 | media : 84.408436
136 -> 1907 | media : 161.348715
137 -> 1984 | media : 94.539315
138 -> 2007 | media : 123.425012
139 -> 2195 | media : 85.504328
140 -> 2222 | media : 191.049955
141 -> 2204 | media : 113.745917
142 -> 2211 | media : 112.793306
143 -> 2246 | media : 83.425200
144 -> 2190 | media : 99.185388
145 -> 2252 | media : 62.445382
146 -> 2242 | media : 65.769848
147 -> 2349 | media : 113.503193
148 -> 2289 | media : 82.005679
149 -> 2362 | media : 71.842083
150 -> 2446 | media : 87.715454
151 -> 2391 | media : 87.665412
152 -> 2299 | media : 77.050022
153 -> 2222 | media : 130.546805
154 -> 2129 | media : 94.139502
155 -> 2052 | media : 108.327485
156 -> 1989 | media : 174.486677
157 -> 1978 | media : 89.829626
158 -> 1937 | media : 125.942179
159 -> 1867 | media : 112.183717
160 -> 1892 | media : 86.841966
161 -> 1750 | media : 66.330286
162 -> 1674 | media : 90.913381
163 -> 1612 | media : 139.440447
164 -> 1530 | media : 179.396078
165 -> 1438 | media : 123.390125
166 -> 1425 | media : 46.054035
167 -> 1400 | media : 150.707857
168 -> 1288 | media : 95.658385
169 -> 1202 | media : 157.735441
170 -> 1157 | media : 72.414866
171 -> 1005 | media : 162.687562
172 -> 1006 | media : 143.129225
173 -> 885 | media : 117.146893
174 -> 795 | media : 129.133333
175 -> 741 | media : 86.205128
176 -> 709 | media : 85.716502
177 -> 581 | media : 142.509466
178 -> 539 | media : 149.133581
179 -> 523 | media : 127.839388
180 -> 431 | media : 130.018561
181 -> 422 | media : 137.554502
182 -> 417 | media : 150.386091
183 -> 358 | media : 140.539106
184 -> 295 | media : 215.955932
185 -> 272 | media : 212.077206
186 -> 257 | media : 147.883268
187 -> 246 | media : 110.345528
188 -> 229 | media : 128.602620
189 -> 182 | media : 147.423077
