1 -> 73302 | media : 7.979209
2 -> 46091 | media : 7.862381
3 -> 25882 | media : 8.583378
4 -> 15632 | media : 14.085018
5 -> 10690 | media : 61.944341
6 -> 7894 | media : 55.326831
7 -> 6344 | media : 15.327554
8 -> 5296 | media : 163.629532
9 -> 4923 | media : 67.222628
10 -> 4331 | media : 145.865389
11 -> 3676 | media : 49.916757
12 -> 3196 | media : 91.914268
13 -> 2639 | media : 102.031451
14 -> 2272 | media : 126.014965
15 -> 1817 | media : 89.443588
16 -> 1423 | media : 80.524947
17 -> 1189 | media : 226.924306
18 -> 957 | media : 106.625914
19 -> 849 | media : 237.107185
20 -> 661 | media : 254.037821
21 -> 524 | media : 297.938931
22 -> 496 | media : 235.118952
23 -> 390 | media : 254.566667
24 -> 332 | media : 334.515060
25 -> 255 | media : 531.647059
26 -> 222 | media : 317.027027
27 -> 141 | media : 626.539007
28 -> 121 | media : 783.338843
29 -> 71 | media : 623.267606
30 -> 47 | media : 759.063830
31 -> 29 | media : 1070.275862
32 -> 13 | media : 1861.153846
33 -> 16 | media : 1320.500000
34 -> 12 | media : 896.083333
35 -> 15 | media : 1112.800000
36 -> 19 | media : 857.263158
37 -> 11 | media : 865.545455
38 -> 2 | media : 2867.000000
39 -> 3 | media : 2143.000000
40 -> 4 | media : 1246.750000
41 -> 2 | media : 1372.500000
42 -> 2 | media : 2673.500000
43 -> 4 | media : 961.250000
44 -> 5 | media : 543.600000
46 -> 2 | media : 647.500000
47 -> 2 | media : 794.500000
52 -> 1 | media : 21.000000
53 -> 1 | media : 3360.000000
55 -> 1 | media : 132.000000
56 -> 3 | media : 1257.666667
57 -> 1 | media : 116.000000
60 -> 1 | media : 2873.000000
65 -> 1 | media : 4725.000000
66 -> 7 | media : 235.285714
67 -> 7 | media : 217.857143
68 -> 4 | media : 913.500000
69 -> 4 | media : 1080.000000
70 -> 3 | media : 1199.000000
71 -> 1 | media : 1773.000000
79 -> 1 | media : 2027.000000
127 -> 1 | media : 268.000000
128 -> 11 | media : 1025.909091
129 -> 12 | media : 124.333333
130 -> 14 | media : 213.071429
131 -> 13 | media : 39.000000
132 -> 13 | media : 13.538462
133 -> 13 | media : 119.384615
134 -> 14 | media : 82.785714
135 -> 9 | media : 129.222222
136 -> 11 | media : 361.000000
137 -> 10 | media : 296.200000
138 -> 6 | media : 79.333333
139 -> 15 | media : 340.933333
140 -> 28 | media : 88.250000
141 -> 26 | media : 98.461538
142 -> 33 | media : 68.818182
143 -> 39 | media : 370.666667
144 -> 47 | media : 150.638298
145 -> 39 | media : 69.538462
146 -> 37 | media : 28.810811
147 -> 35 | media : 213.600000
148 -> 34 | media : 25.382353
149 -> 39 | media : 117.153846
150 -> 28 | media : 75.142857
151 -> 30 | media : 178.500000
152 -> 36 | media : 158.694444
153 -> 37 | media : 143.972973
154 -> 34 | media : 132.441176
155 -> 38 | media : 133.526316
156 -> 33 | media : 298.393939
157 -> 37 | media : 142.513514
158 -> 33 | media : 285.818182
159 -> 58 | media : 97.034483
160 -> 53 | media : 327.433962
161 -> 69 | media : 257.188406
162 -> 70 | media : 390.128571
163 -> 73 | media : 127.917808
164 -> 74 | media : 171.459459
165 -> 72 | media : 227.930556
166 -> 92 | media : 516.347826
167 -> 112 | media : 306.026786
168 -> 102 | media : 417.931373
