1 -> 254865 | media : 1.347243
2 -> 164636 | media : 2.873995
3 -> 92220 | media : 2.598710
4 -> 58079 | media : 2.524251
5 -> 41431 | media : 11.758128
6 -> 31427 | media : 15.374551
7 -> 24757 | media : 20.619461
8 -> 19890 | media : 26.347461
9 -> 16179 | media : 13.406576
10 -> 12973 | media : 40.830263
11 -> 10275 | media : 18.867056
12 -> 8097 | media : 43.165493
13 -> 6482 | media : 46.957266
14 -> 5409 | media : 51.714550
15 -> 4372 | media : 57.873742
16 -> 3571 | media : 59.664240
17 -> 2676 | media : 60.740284
18 -> 2181 | media : 87.396149
19 -> 1713 | media : 84.058961
20 -> 1393 | media : 98.430725
21 -> 1183 | media : 131.755706
22 -> 1135 | media : 116.208811
23 -> 1021 | media : 105.637610
24 -> 734 | media : 142.070845
25 -> 654 | media : 130.417431
26 -> 549 | media : 99.387978
27 -> 422 | media : 136.744076
28 -> 396 | media : 120.353535
29 -> 389 | media : 93.349614
30 -> 310 | media : 128.251613
31 -> 317 | media : 107.274448
32 -> 279 | media : 126.046595
33 -> 244 | media : 126.536885
34 -> 201 | media : 189.422886
35 -> 182 | media : 123.318681
36 -> 176 | media : 111.778409
37 -> 193 | media : 127.621762
38 -> 182 | media : 102.730769
39 -> 147 | media : 141.448980
40 -> 165 | media : 118.951515
41 -> 177 | media : 115.073446
42 -> 201 | media : 131.407960
43 -> 244 | media : 104.323770
44 -> 226 | media : 127.995575
45 -> 253 | media : 70.944664
46 -> 283 | media : 86.547703
47 -> 317 | media : 137.233438
48 -> 312 | media : 97.625000
49 -> 298 | media : 110.657718
50 -> 326 | media : 125.779141
51 -> 302 | media : 117.672185
52 -> 360 | media : 123.330556
53 -> 396 | media : 82.388889
54 -> 420 | media : 84.319048
55 -> 407 | media : 99.240786
56 -> 450 | media : 97.340000
57 -> 411 | media : 107.099757
58 -> 469 | media : 90.878465
59 -> 597 | media : 62.758794
60 -> 617 | media : 103.403566
61 -> 678 | media : 76.694690
62 -> 719 | media : 115.773296
63 -> 701 | media : 75.710414
64 -> 709 | media : 78.551481
65 -> 758 | media : 83.790237
66 -> 783 | media : 76.902937
67 -> 899 | media : 125.088988
68 -> 1014 | media : 83.260355
69 -> 1147 | media : 97.329555
70 -> 1148 | media : 109.568815
71 -> 1298 | media : 133.734977
72 -> 1315 | media : 93.367300
73 -> 1391 | media : 124.341481
74 -> 1461 | media : 96.932238
75 -> 1537 | media : 102.737150
76 -> 1584 | media : 174.534091
77 -> 1630 | media : 121.420245
78 -> 1818 | media : 155.652915
79 -> 2007 | media : 92.157449
80 -> 1849 | media : 104.000541
81 -> 2028 | media : 50.431460
82 -> 2078 | media : 70.122233
83 -> 2278 | media : 45.210272
84 -> 2321 | media : 88.108143
85 -> 2360 | media : 92.105085
86 -> 2380 | media : 111.005462
87 -> 2561 | media : 95.322921
88 -> 2545 | media : 96.792141
89 -> 2688 | media : 63.805804
90 -> 2765 | media : 40.427486
91 -> 2903 | media : 76.329315
92 -> 2946 | media : 86.812627
93 -> 3115 | media : 49.871268
94 -> 3066 | media : 76.603718
95 -> 3224 | media : 72.566687
96 -> 3139 | media : 43.546671
97 -> 3151 | media : 88.109172
98 -> 3188 | media : 72.272585
99 -> 3340 | media : 51.121257
100 -> 3308 | media : 65.610943
101 -> 3308 | media : 49.741233
102 -> 3399 | media : 73.397764
103 -> 3444 | media : 52.834495
104 -> 3429 | media : 87.277049
105 -> 3293 | media : 59.977832
106 -> 3084 | media : 60.703307
107 -> 3134 | media : 51.537652
108 -> 2998 | media : 63.314209
109 -> 3071 | media : 44.601433
110 -> 2988 | media : 59.930723
111 -> 2729 | media : 45.791132
112 -> 2648 | media : 62.834592
113 -> 2484 | media : 72.577295
114 -> 2320 | media : 58.122845
115 -> 2257 | media : 53.571555
116 -> 2162 | media : 101.481036
117 -> 2120 | media : 65.033491
118 -> 2015 | media : 65.993052
119 -> 1869 | media : 56.007491
120 -> 1804 | media : 75.922949
121 -> 1657 | media : 78.077248
122 -> 1588 | media : 46.414987
123 -> 1606 | media : 43.797634
124 -> 1564 | media : 91.569054
125 -> 1452 | media : 64.818182
126 -> 1356 | media : 55.444690
127 -> 1268 | media : 72.828076
128 -> 1199 | media : 81.734779
129 -> 1113 | media : 66.243486
130 -> 951 | media : 52.148265
131 -> 851 | media : 85.603995
132 -> 778 | media : 94.843188
133 -> 700 | media : 73.515714
134 -> 659 | media : 67.382398
135 -> 520 | media : 73.367308
136 -> 475 | media : 77.423158
137 -> 430 | media : 124.009302
138 -> 419 | media : 69.147971
139 -> 378 | media : 69.007937
140 -> 302 | media : 97.768212
141 -> 287 | media : 78.550523
142 -> 276 | media : 80.873188
143 -> 211 | media : 101.829384
144 -> 181 | media : 97.519337
145 -> 160 | media : 107.943750
146 -> 154 | media : 111.889610
147 -> 128 | media : 101.093750
148 -> 117 | media : 142.547009
149 -> 104 | media : 196.903846
150 -> 86 | media : 124.616279
151 -> 83 | media : 144.060241
152 -> 67 | media : 57.447761
153 -> 53 | media : 38.471698
154 -> 56 | media : 54.125000
155 -> 47 | media : 59.446809
156 -> 40 | media : 58.375000
157 -> 38 | media : 187.868421
158 -> 31 | media : 40.225806
159 -> 36 | media : 64.305556
160 -> 28 | media : 85.964286
161 -> 18 | media : 531.166667
162 -> 20 | media : 73.550000
163 -> 15 | media : 25.600000
164 -> 14 | media : 83.857143
165 -> 12 | media : 125.666667
166 -> 11 | media : 38.636364
167 -> 10 | media : 87.900000
168 -> 4 | media : 565.250000
169 -> 2 | media : 376.000000
170 -> 2 | media : 174.000000
171 -> 1 | media : 121.000000
172 -> 3 | media : 6.666667
173 -> 4 | media : 17.500000
174 -> 1 | media : 1156.000000
177 -> 1 | media : 70.000000
