1 -> 542972 | media : 0.870925
2 -> 346309 | media : 0.793271
3 -> 187630 | media : 2.286948
4 -> 118380 | media : 2.876880
5 -> 81251 | media : 5.779461
6 -> 58764 | media : 8.523841
7 -> 44962 | media : 7.063921
8 -> 35153 | media : 7.471482
9 -> 28482 | media : 10.484376
10 -> 24167 | media : 18.110026
11 -> 21116 | media : 18.457189
12 -> 18690 | media : 17.085126
13 -> 16938 | media : 15.602550
14 -> 15409 | media : 12.747615
15 -> 14164 | media : 22.548856
16 -> 12622 | media : 23.787197
17 -> 11813 | media : 17.238720
18 -> 11028 | media : 29.148078
19 -> 9829 | media : 23.466375
20 -> 8729 | media : 32.438767
21 -> 8004 | media : 32.611319
22 -> 7202 | media : 35.695918
23 -> 6764 | media : 36.298344
24 -> 6037 | media : 43.284578
25 -> 5438 | media : 34.716624
26 -> 4954 | media : 42.843763
27 -> 4613 | media : 29.838717
28 -> 4268 | media : 35.790534
29 -> 3880 | media : 34.635309
30 -> 3453 | media : 76.892268
31 -> 3172 | media : 44.496847
32 -> 2878 | media : 36.398888
33 -> 2513 | media : 35.385993
34 -> 2343 | media : 52.789159
35 -> 2131 | media : 60.906617
36 -> 1918 | media : 39.357143
37 -> 1753 | media : 37.660582
38 -> 1562 | media : 44.049936
39 -> 1511 | media : 55.177366
40 -> 1344 | media : 67.222470
41 -> 1251 | media : 48.868106
42 -> 1174 | media : 56.493186
43 -> 1059 | media : 74.576015
44 -> 945 | media : 76.238095
45 -> 932 | media : 53.596567
46 -> 794 | media : 76.128463
47 -> 728 | media : 82.241758
48 -> 683 | media : 67.919473
49 -> 652 | media : 87.099693
50 -> 528 | media : 91.446970
51 -> 510 | media : 59.364706
52 -> 418 | media : 112.490431
53 -> 387 | media : 68.493540
54 -> 346 | media : 161.419075
55 -> 320 | media : 52.937500
56 -> 238 | media : 70.138655
57 -> 231 | media : 81.935065
58 -> 233 | media : 76.309013
59 -> 166 | media : 112.542169
60 -> 158 | media : 103.727848
61 -> 113 | media : 46.690265
62 -> 107 | media : 277.439252
63 -> 82 | media : 215.439024
64 -> 57 | media : 72.596491
65 -> 51 | media : 107.215686
66 -> 38 | media : 181.763158
67 -> 37 | media : 36.513514
68 -> 18 | media : 90.555556
69 -> 22 | media : 259.772727
70 -> 21 | media : 136.047619
71 -> 9 | media : 636.222222
72 -> 11 | media : 708.181818
73 -> 9 | media : 464.666667
74 -> 5 | media : 227.600000
75 -> 1 | media : 11.000000
76 -> 5 | media : 457.600000
77 -> 1 | media : 2.000000
78 -> 1 | media : 778.000000
79 -> 1 | media : 32.000000
