1 -> 54876 | media : 10.105620
2 -> 36320 | media : 10.687197
3 -> 21743 | media : 16.526928
4 -> 13660 | media : 23.534407
5 -> 9137 | media : 40.651965
6 -> 6608 | media : 57.294946
7 -> 4905 | media : 14.459939
8 -> 4057 | media : 178.561992
9 -> 3652 | media : 112.500548
10 -> 3228 | media : 246.639715
11 -> 2870 | media : 78.793031
12 -> 2590 | media : 105.972587
13 -> 2224 | media : 144.183004
14 -> 1988 | media : 244.479376
15 -> 1586 | media : 86.839218
16 -> 1302 | media : 82.760369
17 -> 1076 | media : 306.525093
18 -> 891 | media : 132.274972
19 -> 836 | media : 218.137560
20 -> 738 | media : 294.155827
21 -> 533 | media : 343.846154
22 -> 395 | media : 441.460759
23 -> 367 | media : 357.463215
24 -> 277 | media : 444.884477
25 -> 213 | media : 473.774648
26 -> 163 | media : 380.202454
27 -> 129 | media : 689.441860
28 -> 99 | media : 506.232323
29 -> 54 | media : 651.388889
30 -> 69 | media : 725.971014
31 -> 18 | media : 1410.888889
32 -> 19 | media : 534.105263
33 -> 12 | media : 1372.416667
34 -> 3 | media : 2241.333333
35 -> 9 | media : 618.333333
36 -> 5 | media : 1002.400000
37 -> 4 | media : 2206.500000
38 -> 1 | media : 5177.000000
39 -> 1 | media : 265.000000
40 -> 3 | media : 345.000000
41 -> 2 | media : 515.500000
43 -> 1 | media : 3893.000000
44 -> 1 | media : 1071.000000
45 -> 1 | media : 1749.000000
166 -> 1 | media : 705.000000
167 -> 10 | media : 77.400000
168 -> 10 | media : 77.600000
169 -> 6 | media : 129.333333
170 -> 8 | media : 97.000000
171 -> 9 | media : 88.111111
172 -> 5 | media : 1710.400000
173 -> 5 | media : 159.000000
174 -> 6 | media : 138.500000
175 -> 2 | media : 415.500000
176 -> 5 | media : 884.800000
177 -> 7 | media : 294.000000
178 -> 23 | media : 248.608696
179 -> 25 | media : 1306.480000
180 -> 18 | media : 384.666667
181 -> 23 | media : 200.217391
182 -> 37 | media : 462.486486
183 -> 49 | media : 437.755102
184 -> 51 | media : 783.803922
185 -> 37 | media : 818.432432
186 -> 50 | media : 566.080000
187 -> 51 | media : 528.411765
188 -> 59 | media : 342.610169
189 -> 64 | media : 461.906250
190 -> 77 | media : 413.558442
191 -> 79 | media : 194.772152
192 -> 104 | media : 351.942308
193 -> 106 | media : 434.707547
194 -> 122 | media : 351.827869
195 -> 139 | media : 481.697842
196 -> 172 | media : 550.779070
197 -> 192 | media : 385.114583
198 -> 239 | media : 181.619247
199 -> 297 | media : 266.255892
200 -> 336 | media : 204.741071
201 -> 403 | media : 260.089330
202 -> 443 | media : 188.356659
203 -> 474 | media : 190.426160
204 -> 477 | media : 183.582809
205 -> 540 | media : 406.270370
206 -> 648 | media : 185.206790
207 -> 741 | media : 169.703104
208 -> 753 | media : 270.057105
209 -> 818 | media : 191.134474
210 -> 851 | media : 191.330200
211 -> 910 | media : 185.609890
212 -> 1038 | media : 184.245665
213 -> 1099 | media : 430.256597
214 -> 1150 | media : 110.409565
215 -> 1237 | media : 145.039612
216 -> 1332 | media : 71.512012
217 -> 1287 | media : 234.958042
218 -> 1353 | media : 563.435329
219 -> 1333 | media : 136.267067
220 -> 1406 | media : 190.665718
221 -> 1461 | media : 245.987680
222 -> 1529 | media : 293.958143
223 -> 1661 | media : 174.617098
224 -> 1792 | media : 107.369978
225 -> 1850 | media : 88.821081
226 -> 1886 | media : 83.963415
227 -> 1862 | media : 194.267454
228 -> 1861 | media : 170.461580
229 -> 1882 | media : 247.314559
230 -> 1867 | media : 77.264596
231 -> 1812 | media : 248.496137
232 -> 1809 | media : 67.576009
233 -> 1608 | media : 88.687811
234 -> 1518 | media : 261.942688
235 -> 1419 | media : 88.639887
236 -> 1339 | media : 160.628081
237 -> 1197 | media : 206.691729
238 -> 1077 | media : 331.725162
239 -> 974 | media : 218.990760
240 -> 838 | media : 213.471360
241 -> 780 | media : 167.124359
242 -> 692 | media : 97.036127
243 -> 599 | media : 192.964942
244 -> 480 | media : 337.768750
245 -> 369 | media : 270.593496
246 -> 338 | media : 230.505917
247 -> 257 | media : 356.408560
248 -> 164 | media : 508.884146
249 -> 104 | media : 456.548077
250 -> 82 | media : 379.682927
251 -> 71 | media : 416.211268
252 -> 43 | media : 605.023256
253 -> 26 | media : 571.038462
254 -> 13 | media : 1085.384615
255 -> 10 | media : 1260.800000
256 -> 9 | media : 635.444444
257 -> 13 | media : 470.384615
258 -> 6 | media : 1333.333333
259 -> 10 | media : 468.200000
260 -> 4 | media : 1164.250000
261 -> 3 | media : 646.666667
262 -> 1 | media : 5683.000000
