1 -> 1032 | media : 45.997093
2 -> 492 | media : 96.410569
3 -> 169 | media : 488.757396
4 -> 81 | media : 1913.123457
5 -> 41 | media : 1145.951220
6 -> 18 | media : 2619.333333
7 -> 9 | media : 3867.444444
8 -> 8 | media : 2411.250000
9 -> 1 | media : 39721.000000
12 -> 4 | media : 2007.500000
13 -> 5 | media : 1603.200000
14 -> 9 | media : 2167.111111
15 -> 18 | media : 2125.888889
16 -> 17 | media : 2251.470588
17 -> 14 | media : 2820.428571
18 -> 10 | media : 3296.700000
19 -> 15 | media : 2196.933333
20 -> 15 | media : 1229.266667
21 -> 21 | media : 1554.666667
22 -> 2 | media : 3441.500000
23 -> 2 | media : 3469.000000
24 -> 1 | media : 6938.000000
25 -> 2 | media : 16931.500000
282 -> 3 | media : 20034.666667
283 -> 3 | media : 2311.333333
284 -> 7 | media : 4508.714286
285 -> 11 | media : 3627.454545
286 -> 15 | media : 4751.733333
287 -> 13 | media : 1686.000000
288 -> 15 | media : 7887.400000
289 -> 7 | media : 4704.142857
290 -> 11 | media : 4336.636364
291 -> 15 | media : 5424.800000
292 -> 18 | media : 3205.388889
293 -> 13 | media : 1897.307692
294 -> 8 | media : 4776.125000
295 -> 9 | media : 3564.888889
296 -> 4 | media : 3680.750000
297 -> 1 | media : 8030.000000
299 -> 3 | media : 815.333333
300 -> 5 | media : 7945.400000
301 -> 11 | media : 3611.000000
302 -> 33 | media : 1277.454545
303 -> 65 | media : 2505.230769
304 -> 139 | media : 435.079137
305 -> 160 | media : 597.593750
306 -> 212 | media : 802.745283
307 -> 244 | media : 503.196721
308 -> 282 | media : 469.351064
309 -> 282 | media : 758.039007
310 -> 178 | media : 2095.977528
311 -> 100 | media : 4625.130000
312 -> 49 | media : 2779.510204
313 -> 21 | media : 1770.333333
314 -> 5 | media : 16166.600000
315 -> 3 | media : 14619.333333
