1 -> 3749 | media : 23.516938
2 -> 1793 | media : 181.556609
3 -> 889 | media : 1440.015748
4 -> 439 | media : 641.922551
5 -> 258 | media : 388.899225
6 -> 167 | media : 331.790419
7 -> 60 | media : 785.083333
8 -> 32 | media : 3459.375000
9 -> 52 | media : 1715.442308
10 -> 85 | media : 1281.364706
11 -> 135 | media : 809.437037
12 -> 183 | media : 252.863388
13 -> 275 | media : 355.458182
14 -> 343 | media : 172.137026
15 -> 398 | media : 119.256281
16 -> 434 | media : 128.152074
17 -> 439 | media : 639.874715
18 -> 427 | media : 177.119438
19 -> 400 | media : 327.607500
20 -> 332 | media : 575.852410
21 -> 268 | media : 656.850746
22 -> 184 | media : 254.766304
23 -> 152 | media : 1139.282895
24 -> 150 | media : 694.560000
25 -> 144 | media : 610.027778
26 -> 124 | media : 381.895161
27 -> 135 | media : 381.829630
28 -> 82 | media : 965.463415
29 -> 61 | media : 1267.311475
30 -> 37 | media : 1761.837838
31 -> 24 | media : 2212.041667
32 -> 23 | media : 1364.173913
33 -> 16 | media : 1786.500000
34 -> 11 | media : 2082.090909
35 -> 7 | media : 3456.142857
36 -> 12 | media : 406.083333
37 -> 10 | media : 2418.100000
38 -> 13 | media : 883.384615
39 -> 13 | media : 830.384615
40 -> 14 | media : 1723.857143
41 -> 2 | media : 2972.000000
256 -> 1 | media : 22828.000000
257 -> 1 | media : 3747.000000
258 -> 10 | media : 1577.600000
259 -> 7 | media : 3262.000000
260 -> 5 | media : 2485.400000
261 -> 7 | media : 908.857143
262 -> 15 | media : 1526.600000
263 -> 15 | media : 1779.866667
264 -> 22 | media : 1530.818182
265 -> 29 | media : 6781.586207
266 -> 38 | media : 1186.105263
267 -> 34 | media : 3917.000000
268 -> 41 | media : 5249.975610
269 -> 64 | media : 1298.671875
270 -> 68 | media : 1723.485294
271 -> 96 | media : 1127.020833
272 -> 129 | media : 1825.302326
273 -> 158 | media : 591.018987
274 -> 196 | media : 694.933673
275 -> 234 | media : 912.329060
276 -> 265 | media : 1568.683019
277 -> 271 | media : 332.439114
278 -> 311 | media : 974.160772
279 -> 337 | media : 325.587537
280 -> 380 | media : 342.136842
281 -> 387 | media : 615.994832
282 -> 430 | media : 456.595349
283 -> 426 | media : 257.342723
284 -> 451 | media : 716.516630
285 -> 473 | media : 431.761099
286 -> 510 | media : 294.078431
287 -> 507 | media : 1643.921105
288 -> 492 | media : 866.660569
289 -> 402 | media : 166.982587
290 -> 310 | media : 797.470968
291 -> 217 | media : 1226.336406
292 -> 162 | media : 1420.450617
293 -> 136 | media : 1033.073529
294 -> 119 | media : 432.386555
295 -> 114 | media : 887.394737
296 -> 223 | media : 834.354260
297 -> 345 | media : 301.142029
298 -> 490 | media : 945.975510
299 -> 493 | media : 542.379310
300 -> 591 | media : 217.340102
301 -> 574 | media : 326.358885
302 -> 537 | media : 904.445065
303 -> 460 | media : 1021.467391
304 -> 449 | media : 235.556793
305 -> 330 | media : 603.851515
306 -> 311 | media : 595.842444
307 -> 123 | media : 1264.382114
308 -> 103 | media : 1874.504854
309 -> 90 | media : 792.433333
310 -> 67 | media : 600.268657
311 -> 28 | media : 5032.464286
312 -> 13 | media : 1946.461538
