1 -> 388208 | media : 0.635054
2 -> 252769 | media : 0.653094
3 -> 148199 | media : 1.648371
4 -> 94798 | media : 2.992204
5 -> 64555 | media : 4.201596
6 -> 45430 | media : 6.055888
7 -> 32524 | media : 5.134024
8 -> 24378 | media : 6.362212
9 -> 19002 | media : 11.019840
10 -> 15000 | media : 13.122667
11 -> 12475 | media : 18.804569
12 -> 10451 | media : 17.052531
13 -> 9450 | media : 19.859259
14 -> 8454 | media : 17.589425
15 -> 7918 | media : 18.452008
16 -> 7271 | media : 16.912942
17 -> 6734 | media : 16.537571
18 -> 6279 | media : 26.396878
19 -> 6049 | media : 26.017854
20 -> 5660 | media : 29.988163
21 -> 5474 | media : 22.979357
22 -> 5161 | media : 18.568301
23 -> 5049 | media : 20.027332
24 -> 4732 | media : 30.971471
25 -> 4518 | media : 29.083444
26 -> 4338 | media : 27.648225
27 -> 4323 | media : 23.251446
28 -> 4090 | media : 26.165770
29 -> 3851 | media : 25.549468
30 -> 3775 | media : 65.150199
31 -> 3877 | media : 30.944545
32 -> 3845 | media : 20.427568
33 -> 3803 | media : 19.800684
34 -> 3664 | media : 28.695961
35 -> 3574 | media : 31.299105
36 -> 3554 | media : 22.090602
37 -> 3495 | media : 22.680401
38 -> 3470 | media : 24.095389
39 -> 3393 | media : 29.185382
40 -> 3396 | media : 35.239105
41 -> 3433 | media : 29.132246
42 -> 3369 | media : 29.719205
43 -> 3493 | media : 29.171486
44 -> 3352 | media : 36.313544
45 -> 3287 | media : 33.592029
46 -> 3302 | media : 24.814961
47 -> 3231 | media : 33.854225
48 -> 3453 | media : 28.664350
49 -> 3389 | media : 32.979345
50 -> 3470 | media : 21.652738
51 -> 3384 | media : 21.551123
52 -> 3327 | media : 29.963631
53 -> 3475 | media : 33.298129
54 -> 3500 | media : 39.348571
55 -> 3493 | media : 25.807615
56 -> 3552 | media : 26.831926
57 -> 3512 | media : 30.336845
58 -> 3492 | media : 26.615693
59 -> 3547 | media : 27.284748
60 -> 3415 | media : 37.938507
61 -> 3396 | media : 24.306243
62 -> 3376 | media : 22.039988
63 -> 3498 | media : 22.718982
64 -> 3385 | media : 21.813589
65 -> 3290 | media : 20.010334
66 -> 3147 | media : 27.163012
67 -> 2987 | media : 24.428189
68 -> 2943 | media : 23.476724
69 -> 2785 | media : 27.439497
70 -> 2766 | media : 26.517715
71 -> 2675 | media : 26.449720
72 -> 2483 | media : 34.408377
73 -> 2382 | media : 23.128883
74 -> 2294 | media : 23.122058
75 -> 2111 | media : 22.500711
76 -> 1955 | media : 33.465473
77 -> 1821 | media : 20.330588
78 -> 1649 | media : 29.078229
79 -> 1558 | media : 19.025674
80 -> 1405 | media : 22.005694
81 -> 1278 | media : 27.354460
82 -> 1120 | media : 32.367857
83 -> 1019 | media : 40.170756
84 -> 904 | media : 35.527655
85 -> 808 | media : 43.523515
86 -> 715 | media : 37.955245
87 -> 616 | media : 40.915584
88 -> 514 | media : 31.252918
89 -> 417 | media : 90.184652
90 -> 362 | media : 97.933702
91 -> 323 | media : 22.647059
92 -> 241 | media : 53.448133
93 -> 199 | media : 90.944724
94 -> 168 | media : 110.291667
95 -> 114 | media : 100.754386
96 -> 99 | media : 124.010101
97 -> 77 | media : 101.103896
98 -> 65 | media : 50.123077
99 -> 66 | media : 116.212121
100 -> 39 | media : 150.256410
101 -> 26 | media : 170.384615
102 -> 21 | media : 217.523810
103 -> 11 | media : 107.363636
104 -> 13 | media : 104.615385
105 -> 3 | media : 31.666667
106 -> 4 | media : 30.500000
107 -> 3 | media : 23.666667
108 -> 3 | media : 35.000000
109 -> 2 | media : 133.000000
110 -> 1 | media : 14.000000
