1 -> 391 | media : 121.324808
2 -> 160 | media : 290.325000
3 -> 51 | media : 1593.156863
4 -> 20 | media : 3425.550000
5 -> 7 | media : 5040.428571
305 -> 2 | media : 13884.000000
306 -> 10 | media : 2780.200000
307 -> 22 | media : 1772.409091
308 -> 34 | media : 1338.029412
309 -> 75 | media : 1597.480000
310 -> 133 | media : 1899.939850
311 -> 191 | media : 852.099476
312 -> 167 | media : 776.383234
313 -> 107 | media : 814.485981
314 -> 59 | media : 9140.559322
315 -> 20 | media : 9918.300000
