1 -> 62009 | media : 3.046074
2 -> 37495 | media : 5.980691
3 -> 23772 | media : 6.547072
4 -> 16150 | media : 13.748359
5 -> 12367 | media : 14.638635
6 -> 9310 | media : 15.145650
7 -> 7030 | media : 16.640114
8 -> 5656 | media : 13.384017
9 -> 4684 | media : 17.513664
10 -> 3886 | media : 18.772002
11 -> 3372 | media : 27.732503
12 -> 3171 | media : 26.361716
13 -> 3144 | media : 24.229644
14 -> 2904 | media : 18.971419
15 -> 2685 | media : 24.368343
16 -> 2522 | media : 25.710944
17 -> 2284 | media : 20.661559
18 -> 2085 | media : 25.859952
19 -> 1989 | media : 28.173957
20 -> 1724 | media : 27.488979
21 -> 1623 | media : 29.788047
22 -> 1494 | media : 31.782463
23 -> 1265 | media : 33.729644
24 -> 994 | media : 41.994970
25 -> 818 | media : 40.129584
26 -> 666 | media : 47.303303
27 -> 584 | media : 40.136986
28 -> 506 | media : 49.662055
29 -> 408 | media : 48.328431
30 -> 370 | media : 72.397297
31 -> 280 | media : 92.757143
32 -> 240 | media : 54.241667
33 -> 171 | media : 102.245614
34 -> 169 | media : 80.727811
35 -> 135 | media : 82.385185
36 -> 104 | media : 166.461538
37 -> 70 | media : 129.057143
38 -> 70 | media : 170.185714
39 -> 34 | media : 277.323529
40 -> 42 | media : 210.523810
41 -> 22 | media : 119.045455
42 -> 15 | media : 171.466667
43 -> 16 | media : 121.875000
44 -> 9 | media : 223.000000
45 -> 6 | media : 386.166667
46 -> 8 | media : 507.500000
47 -> 9 | media : 352.444444
48 -> 11 | media : 179.545455
49 -> 6 | media : 214.500000
50 -> 8 | media : 469.875000
51 -> 11 | media : 90.272727
52 -> 20 | media : 256.350000
53 -> 16 | media : 252.062500
54 -> 11 | media : 139.818182
55 -> 5 | media : 673.400000
56 -> 2 | media : 49.500000
57 -> 3 | media : 56.333333
58 -> 3 | media : 78.333333
59 -> 2 | media : 577.000000
60 -> 3 | media : 218.333333
61 -> 3 | media : 290.333333
62 -> 2 | media : 170.000000
63 -> 3 | media : 152.333333
64 -> 1 | media : 14.000000
65 -> 1 | media : 504.000000
66 -> 1 | media : 143.000000
67 -> 2 | media : 33.500000
75 -> 3 | media : 103.000000
76 -> 1 | media : 617.000000
77 -> 3 | media : 173.666667
78 -> 1 | media : 563.000000
79 -> 1 | media : 152.000000
83 -> 1 | media : 3.000000
85 -> 5 | media : 153.600000
87 -> 1 | media : 37.000000
88 -> 1 | media : 155.000000
89 -> 2 | media : 97.500000
93 -> 1 | media : 349.000000
94 -> 2 | media : 179.000000
95 -> 3 | media : 119.333333
97 -> 3 | media : 192.000000
98 -> 2 | media : 66.000000
99 -> 2 | media : 62.000000
100 -> 4 | media : 53.250000
102 -> 2 | media : 92.000000
103 -> 5 | media : 43.200000
104 -> 2 | media : 106.500000
105 -> 2 | media : 81.500000
106 -> 3 | media : 96.333333
107 -> 9 | media : 44.222222
108 -> 17 | media : 26.823529
109 -> 17 | media : 68.294118
110 -> 23 | media : 64.260870
111 -> 25 | media : 66.440000
112 -> 31 | media : 36.483871
113 -> 19 | media : 31.842105
114 -> 19 | media : 69.789474
115 -> 22 | media : 36.954545
116 -> 19 | media : 77.421053
117 -> 38 | media : 30.815789
118 -> 39 | media : 34.128205
119 -> 37 | media : 65.324324
120 -> 34 | media : 50.352941
121 -> 25 | media : 65.640000
122 -> 48 | media : 38.958333
123 -> 52 | media : 115.480769
124 -> 62 | media : 52.596774
125 -> 62 | media : 60.806452
126 -> 64 | media : 55.546875
127 -> 64 | media : 120.531250
128 -> 83 | media : 50.457831
129 -> 72 | media : 41.625000
130 -> 86 | media : 110.000000
131 -> 80 | media : 121.675000
132 -> 87 | media : 116.114943
133 -> 93 | media : 67.118280
134 -> 100 | media : 99.200000
135 -> 111 | media : 74.612613
136 -> 119 | media : 61.621849
137 -> 132 | media : 68.977273
138 -> 115 | media : 108.139130
139 -> 159 | media : 80.937107
140 -> 170 | media : 132.547059
141 -> 171 | media : 50.549708
142 -> 145 | media : 57.682759
143 -> 173 | media : 54.404624
144 -> 175 | media : 74.068571
145 -> 165 | media : 65.787879
146 -> 176 | media : 50.017045
147 -> 183 | media : 96.896175
148 -> 208 | media : 65.908654
149 -> 217 | media : 64.949309
150 -> 179 | media : 67.402235
151 -> 214 | media : 73.551402
152 -> 243 | media : 52.205761
153 -> 242 | media : 61.202479
154 -> 292 | media : 38.890411
155 -> 292 | media : 46.366438
156 -> 315 | media : 57.676190
157 -> 311 | media : 41.340836
158 -> 353 | media : 48.759207
159 -> 353 | media : 59.558074
160 -> 344 | media : 66.354651
161 -> 398 | media : 49.218593
162 -> 450 | media : 50.477778
163 -> 534 | media : 37.711610
164 -> 522 | media : 43.567050
165 -> 547 | media : 43.338208
166 -> 574 | media : 46.801394
167 -> 583 | media : 42.259005
168 -> 607 | media : 45.115321
169 -> 667 | media : 37.911544
170 -> 654 | media : 45.322630
171 -> 672 | media : 37.540179
172 -> 771 | media : 33.133593
173 -> 847 | media : 38.356553
174 -> 962 | media : 39.165281
175 -> 1012 | media : 31.206522
176 -> 1146 | media : 31.334206
177 -> 1062 | media : 33.819209
