1 -> 640047 | media : 0.986829
2 -> 401974 | media : 1.042829
3 -> 207763 | media : 3.256465
4 -> 127919 | media : 3.959482
5 -> 87937 | media : 7.948122
6 -> 63247 | media : 13.519914
7 -> 47781 | media : 9.572801
8 -> 37535 | media : 11.594725
9 -> 30447 | media : 15.490426
10 -> 25128 | media : 23.541428
11 -> 20828 | media : 30.019109
12 -> 17674 | media : 33.170872
13 -> 15172 | media : 26.640654
14 -> 12848 | media : 19.391423
15 -> 11148 | media : 38.715465
16 -> 9554 | media : 37.799979
17 -> 8116 | media : 30.244948
18 -> 6749 | media : 59.445992
19 -> 5777 | media : 44.023715
20 -> 4879 | media : 69.310514
21 -> 4100 | media : 70.773415
22 -> 3426 | media : 71.715995
23 -> 2859 | media : 86.870584
24 -> 2415 | media : 110.446377
25 -> 1974 | media : 82.027356
26 -> 1628 | media : 81.694103
27 -> 1426 | media : 90.798738
28 -> 1171 | media : 80.163108
29 -> 954 | media : 144.429769
30 -> 787 | media : 145.542567
31 -> 629 | media : 110.251192
32 -> 530 | media : 114.020755
33 -> 461 | media : 123.568330
34 -> 350 | media : 200.585714
35 -> 262 | media : 204.938931
36 -> 237 | media : 161.675105
37 -> 179 | media : 149.782123
38 -> 160 | media : 235.550000
39 -> 106 | media : 316.566038
40 -> 104 | media : 311.182692
41 -> 95 | media : 379.000000
42 -> 57 | media : 206.929825
43 -> 55 | media : 436.363636
44 -> 50 | media : 539.820000
45 -> 42 | media : 160.309524
46 -> 30 | media : 651.033333
47 -> 27 | media : 293.000000
48 -> 17 | media : 352.764706
49 -> 17 | media : 763.294118
50 -> 6 | media : 1088.500000
51 -> 7 | media : 498.285714
52 -> 8 | media : 1875.875000
53 -> 5 | media : 31.800000
54 -> 4 | media : 1810.500000
55 -> 2 | media : 26.000000
57 -> 3 | media : 121.333333
58 -> 1 | media : 3.000000
59 -> 1 | media : 248.000000
60 -> 2 | media : 24.500000
