1 -> 5526 | media : 10.093196
2 -> 2817 | media : 110.669152
3 -> 1367 | media : 830.902707
4 -> 805 | media : 297.762733
5 -> 455 | media : 155.696703
6 -> 331 | media : 318.933535
7 -> 204 | media : 276.779412
8 -> 111 | media : 1409.378378
9 -> 89 | media : 1012.011236
10 -> 138 | media : 679.420290
11 -> 192 | media : 318.718750
12 -> 249 | media : 236.698795
13 -> 374 | media : 232.727273
14 -> 420 | media : 719.302381
15 -> 472 | media : 100.559322
16 -> 492 | media : 115.806911
17 -> 552 | media : 571.735507
18 -> 564 | media : 84.030142
19 -> 535 | media : 145.521495
20 -> 518 | media : 571.214286
21 -> 427 | media : 491.981265
22 -> 326 | media : 529.503067
23 -> 261 | media : 661.911877
24 -> 255 | media : 269.796078
25 -> 211 | media : 423.421801
26 -> 190 | media : 249.268421
27 -> 171 | media : 714.900585
28 -> 113 | media : 593.681416
29 -> 74 | media : 1473.945946
30 -> 68 | media : 1145.750000
31 -> 47 | media : 2575.212766
32 -> 32 | media : 2185.906250
33 -> 24 | media : 1549.875000
34 -> 12 | media : 3101.083333
35 -> 9 | media : 2688.111111
36 -> 17 | media : 333.000000
37 -> 15 | media : 1612.000000
38 -> 18 | media : 891.444444
39 -> 13 | media : 1857.615385
40 -> 24 | media : 1005.583333
41 -> 5 | media : 908.600000
256 -> 2 | media : 2832.000000
257 -> 6 | media : 5930.000000
258 -> 14 | media : 651.642857
259 -> 25 | media : 1347.080000
260 -> 12 | media : 2941.083333
261 -> 30 | media : 2231.800000
262 -> 41 | media : 1675.731707
263 -> 47 | media : 1792.893617
264 -> 80 | media : 867.425000
265 -> 93 | media : 3130.268817
266 -> 120 | media : 515.891667
267 -> 130 | media : 1222.884615
268 -> 181 | media : 922.320442
269 -> 180 | media : 559.866667
270 -> 188 | media : 1497.452128
271 -> 242 | media : 577.272727
272 -> 382 | media : 769.513089
273 -> 452 | media : 317.188053
274 -> 505 | media : 314.940594
275 -> 553 | media : 586.942134
276 -> 626 | media : 807.640575
277 -> 757 | media : 234.859974
278 -> 784 | media : 487.366071
279 -> 719 | media : 238.522949
280 -> 765 | media : 256.620915
281 -> 746 | media : 121.616622
282 -> 705 | media : 198.872340
283 -> 681 | media : 143.480176
284 -> 631 | media : 528.026941
285 -> 604 | media : 248.144040
286 -> 591 | media : 289.671743
287 -> 476 | media : 1574.050420
288 -> 398 | media : 675.929648
289 -> 293 | media : 254.392491
290 -> 263 | media : 1226.083650
291 -> 229 | media : 1037.026201
292 -> 183 | media : 1111.229508
293 -> 253 | media : 815.711462
294 -> 297 | media : 265.360269
295 -> 333 | media : 422.063063
296 -> 483 | media : 438.625259
297 -> 555 | media : 195.772973
298 -> 646 | media : 840.060372
299 -> 617 | media : 525.354943
300 -> 532 | media : 210.986842
301 -> 434 | media : 399.707373
302 -> 388 | media : 930.262887
303 -> 295 | media : 1412.454237
304 -> 217 | media : 277.880184
305 -> 130 | media : 495.592308
306 -> 139 | media : 678.093525
307 -> 93 | media : 1092.870968
308 -> 65 | media : 339.307692
309 -> 40 | media : 2883.625000
310 -> 15 | media : 2152.133333
311 -> 7 | media : 14509.428571
