1 -> 806292 | media : 2.867663
2 -> 497501 | media : 1.497792
3 -> 226737 | media : 5.012239
4 -> 132150 | media : 5.998207
5 -> 87759 | media : 9.923370
6 -> 61073 | media : 27.559691
7 -> 44051 | media : 47.476085
8 -> 31917 | media : 34.171476
9 -> 23213 | media : 26.850903
10 -> 16920 | media : 79.044031
11 -> 12285 | media : 54.318600
12 -> 8915 | media : 103.244868
13 -> 6355 | media : 131.674430
14 -> 4535 | media : 121.711797
15 -> 3285 | media : 132.929072
16 -> 2483 | media : 279.900524
17 -> 1783 | media : 159.918116
18 -> 1298 | media : 167.513097
19 -> 978 | media : 205.676892
20 -> 697 | media : 206.691535
21 -> 471 | media : 268.178344
22 -> 312 | media : 471.891026
23 -> 213 | media : 289.906103
24 -> 142 | media : 368.852113
25 -> 109 | media : 507.422018
26 -> 73 | media : 488.849315
27 -> 54 | media : 733.444444
28 -> 27 | media : 1015.000000
29 -> 17 | media : 1060.823529
30 -> 11 | media : 978.363636
31 -> 5 | media : 2078.200000
32 -> 5 | media : 1233.200000
33 -> 1 | media : 56.000000
34 -> 3 | media : 1428.000000
35 -> 1 | media : 924.000000
36 -> 2 | media : 472.000000
