1 -> 12607 | media : 8.490045
2 -> 6335 | media : 59.284925
3 -> 3337 | media : 289.639197
4 -> 2292 | media : 191.320681
5 -> 1586 | media : 71.282472
6 -> 1085 | media : 207.627650
7 -> 618 | media : 141.417476
8 -> 421 | media : 458.049881
9 -> 347 | media : 185.576369
10 -> 387 | media : 1354.674419
11 -> 506 | media : 326.462451
12 -> 674 | media : 137.548961
13 -> 817 | media : 225.930233
14 -> 899 | media : 194.382647
15 -> 1060 | media : 49.587736
16 -> 977 | media : 56.983623
17 -> 995 | media : 530.148744
18 -> 938 | media : 55.695096
19 -> 857 | media : 297.339557
20 -> 765 | media : 441.469281
21 -> 661 | media : 432.552194
22 -> 576 | media : 216.697917
23 -> 477 | media : 533.811321
24 -> 450 | media : 523.611111
25 -> 378 | media : 697.849206
26 -> 243 | media : 310.489712
27 -> 166 | media : 418.355422
28 -> 120 | media : 429.225000
29 -> 110 | media : 819.036364
30 -> 125 | media : 560.536000
31 -> 114 | media : 2360.982456
32 -> 119 | media : 1063.613445
33 -> 93 | media : 430.107527
34 -> 55 | media : 1196.563636
35 -> 33 | media : 1371.484848
36 -> 29 | media : 955.896552
37 -> 8 | media : 7124.000000
38 -> 8 | media : 5027.875000
39 -> 4 | media : 4163.750000
40 -> 4 | media : 7152.250000
41 -> 5 | media : 5567.000000
42 -> 1 | media : 1694.000000
43 -> 3 | media : 13774.666667
44 -> 1 | media : 8253.000000
45 -> 1 | media : 23288.000000
46 -> 1 | media : 23603.000000
240 -> 7 | media : 44.571429
241 -> 15 | media : 20.400000
242 -> 12 | media : 27.000000
243 -> 10 | media : 2893.200000
244 -> 8 | media : 255.625000
245 -> 20 | media : 1454.500000
246 -> 19 | media : 1513.842105
247 -> 9 | media : 3233.333333
248 -> 19 | media : 1569.526316
249 -> 24 | media : 411.708333
250 -> 43 | media : 903.302326
251 -> 70 | media : 721.785714
252 -> 79 | media : 1304.455696
253 -> 103 | media : 994.233010
254 -> 125 | media : 587.696000
255 -> 157 | media : 883.700637
256 -> 192 | media : 379.723958
257 -> 237 | media : 511.611814
258 -> 317 | media : 511.744479
259 -> 362 | media : 301.334254
260 -> 417 | media : 560.623501
261 -> 477 | media : 793.981132
262 -> 532 | media : 235.050752
263 -> 655 | media : 307.259542
264 -> 708 | media : 104.601695
265 -> 884 | media : 1386.996606
266 -> 951 | media : 87.614090
267 -> 977 | media : 531.833163
268 -> 1046 | media : 607.702677
269 -> 1156 | media : 170.517301
270 -> 1214 | media : 536.804778
271 -> 1231 | media : 170.371243
272 -> 1248 | media : 486.899840
273 -> 1216 | media : 64.810033
274 -> 1202 | media : 86.079867
275 -> 1102 | media : 440.442831
276 -> 1125 | media : 725.111111
277 -> 1009 | media : 307.072349
278 -> 886 | media : 1087.906321
279 -> 806 | media : 240.933002
280 -> 678 | media : 329.541298
281 -> 592 | media : 212.255068
282 -> 527 | media : 359.588235
283 -> 511 | media : 104.395303
284 -> 419 | media : 478.112172
285 -> 384 | media : 224.695312
286 -> 381 | media : 255.687664
287 -> 334 | media : 1134.793413
288 -> 322 | media : 1126.708075
289 -> 254 | media : 382.972441
290 -> 248 | media : 1405.568548
291 -> 295 | media : 957.796610
292 -> 278 | media : 1073.737410
293 -> 227 | media : 294.502203
294 -> 191 | media : 820.303665
295 -> 178 | media : 1031.286517
296 -> 134 | media : 766.037313
297 -> 146 | media : 363.691781
298 -> 121 | media : 1523.148760
299 -> 123 | media : 1124.967480
300 -> 92 | media : 1391.043478
301 -> 66 | media : 629.136364
302 -> 27 | media : 1637.185185
303 -> 15 | media : 2255.666667
304 -> 3 | media : 12230.666667
