1 -> 129261 | media : 1.121908
2 -> 83686 | media : 1.662106
3 -> 51976 | media : 2.383331
4 -> 36145 | media : 6.951363
5 -> 27186 | media : 5.887589
6 -> 20884 | media : 7.654808
7 -> 15815 | media : 7.179956
8 -> 12318 | media : 7.365725
9 -> 9935 | media : 9.304781
10 -> 8157 | media : 12.024519
11 -> 7178 | media : 14.443717
12 -> 6399 | media : 11.481013
13 -> 5462 | media : 16.387404
14 -> 4956 | media : 16.012510
15 -> 4564 | media : 15.287248
16 -> 4370 | media : 19.203661
17 -> 3818 | media : 14.347040
18 -> 3402 | media : 21.511758
19 -> 3117 | media : 24.486044
20 -> 2761 | media : 23.165158
21 -> 2514 | media : 21.418059
22 -> 2235 | media : 27.704698
23 -> 1885 | media : 30.413793
24 -> 1629 | media : 34.115408
25 -> 1335 | media : 33.122097
26 -> 973 | media : 38.709147
27 -> 781 | media : 39.468630
28 -> 609 | media : 41.804598
29 -> 492 | media : 45.424797
30 -> 382 | media : 80.400524
31 -> 320 | media : 94.543750
32 -> 233 | media : 86.768240
33 -> 176 | media : 188.170455
34 -> 166 | media : 89.578313
35 -> 141 | media : 73.148936
36 -> 132 | media : 114.333333
37 -> 130 | media : 84.438462
38 -> 131 | media : 57.564885
39 -> 113 | media : 110.415929
40 -> 72 | media : 92.013889
41 -> 78 | media : 95.884615
42 -> 76 | media : 79.671053
43 -> 71 | media : 60.957746
44 -> 61 | media : 87.557377
45 -> 69 | media : 50.855072
46 -> 96 | media : 124.968750
47 -> 93 | media : 83.408602
48 -> 85 | media : 54.964706
49 -> 91 | media : 50.890110
50 -> 76 | media : 106.157895
51 -> 76 | media : 71.039474
52 -> 92 | media : 49.195652
53 -> 102 | media : 44.382353
54 -> 107 | media : 26.317757
55 -> 116 | media : 32.413793
56 -> 96 | media : 30.625000
57 -> 88 | media : 34.284091
58 -> 108 | media : 48.305556
59 -> 89 | media : 39.112360
60 -> 79 | media : 50.632911
61 -> 101 | media : 39.742574
62 -> 94 | media : 73.510638
63 -> 113 | media : 47.902655
64 -> 132 | media : 36.704545
65 -> 133 | media : 32.082707
66 -> 133 | media : 38.165414
67 -> 163 | media : 34.730061
68 -> 152 | media : 43.335526
69 -> 193 | media : 50.093264
70 -> 165 | media : 37.066667
71 -> 148 | media : 28.695946
72 -> 197 | media : 24.593909
73 -> 187 | media : 31.898396
74 -> 218 | media : 55.513761
75 -> 178 | media : 21.949438
76 -> 178 | media : 45.522472
77 -> 176 | media : 32.363636
78 -> 215 | media : 48.074419
79 -> 239 | media : 40.794979
80 -> 265 | media : 36.690566
81 -> 266 | media : 42.796992
82 -> 259 | media : 50.648649
83 -> 302 | media : 53.400662
84 -> 315 | media : 55.057143
85 -> 305 | media : 36.645902
86 -> 320 | media : 39.756250
87 -> 323 | media : 37.154799
88 -> 341 | media : 33.800587
89 -> 360 | media : 53.752778
90 -> 380 | media : 53.168421
91 -> 409 | media : 45.594132
92 -> 382 | media : 39.358639
93 -> 434 | media : 55.202765
94 -> 455 | media : 46.591209
