1 -> 28708 | media : 18.206946
2 -> 17784 | media : 25.079678
3 -> 10892 | media : 93.019372
4 -> 6718 | media : 107.847425
5 -> 4189 | media : 49.148245
6 -> 2598 | media : 146.366821
7 -> 1756 | media : 51.898633
8 -> 1433 | media : 574.794138
9 -> 1251 | media : 103.183054
10 -> 1210 | media : 708.026446
11 -> 1231 | media : 152.493907
12 -> 1214 | media : 122.540362
13 -> 1278 | media : 330.702660
14 -> 1238 | media : 403.965267
15 -> 1241 | media : 66.043513
16 -> 1147 | media : 51.206626
17 -> 1126 | media : 484.243339
18 -> 968 | media : 124.996901
19 -> 928 | media : 268.398707
20 -> 877 | media : 321.896237
21 -> 681 | media : 520.672540
22 -> 526 | media : 712.454373
23 -> 452 | media : 339.506637
24 -> 375 | media : 966.824000
25 -> 341 | media : 697.721408
26 -> 224 | media : 507.053571
27 -> 153 | media : 866.947712
28 -> 112 | media : 390.044643
29 -> 95 | media : 1148.463158
30 -> 82 | media : 985.658537
31 -> 43 | media : 4340.953488
32 -> 43 | media : 1615.000000
33 -> 34 | media : 1594.470588
34 -> 41 | media : 606.829268
35 -> 37 | media : 354.513514
36 -> 22 | media : 1126.045455
37 -> 5 | media : 3176.000000
38 -> 1 | media : 9772.000000
40 -> 1 | media : 18723.000000
217 -> 2 | media : 1191.500000
218 -> 9 | media : 515.333333
219 -> 12 | media : 197.916667
220 -> 19 | media : 125.736842
221 -> 22 | media : 111.000000
222 -> 31 | media : 158.677419
223 -> 35 | media : 140.228571
224 -> 47 | media : 238.723404
225 -> 67 | media : 193.104478
226 -> 71 | media : 219.464789
227 -> 80 | media : 431.712500
228 -> 80 | media : 345.475000
229 -> 85 | media : 538.117647
230 -> 77 | media : 702.935065
231 -> 94 | media : 678.117021
232 -> 115 | media : 716.243478
233 -> 134 | media : 611.791045
234 -> 164 | media : 454.384146
235 -> 188 | media : 247.244681
236 -> 226 | media : 339.300885
237 -> 283 | media : 720.247350
238 -> 302 | media : 319.930464
239 -> 376 | media : 392.742021
240 -> 416 | media : 626.168269
241 -> 539 | media : 358.486085
242 -> 615 | media : 250.203252
243 -> 692 | media : 229.173410
244 -> 877 | media : 573.564424
245 -> 938 | media : 191.215352
246 -> 932 | media : 236.628755
247 -> 1084 | media : 463.699262
248 -> 1160 | media : 397.623276
249 -> 1228 | media : 93.972313
250 -> 1287 | media : 991.522145
251 -> 1418 | media : 159.771509
252 -> 1503 | media : 621.363273
253 -> 1407 | media : 105.078181
254 -> 1434 | media : 1636.470014
255 -> 1450 | media : 324.822759
256 -> 1468 | media : 214.549728
257 -> 1428 | media : 522.707983
258 -> 1368 | media : 899.973684
259 -> 1323 | media : 175.959184
260 -> 1303 | media : 297.954720
261 -> 1240 | media : 369.422581
262 -> 1102 | media : 146.568966
263 -> 1027 | media : 277.120740
264 -> 959 | media : 91.436913
265 -> 815 | media : 1257.339877
266 -> 728 | media : 140.292582
267 -> 618 | media : 409.682848
268 -> 501 | media : 771.483034
269 -> 371 | media : 426.274933
270 -> 321 | media : 1219.990654
271 -> 241 | media : 476.174274
272 -> 176 | media : 1122.971591
273 -> 139 | media : 355.208633
274 -> 128 | media : 618.937500
275 -> 77 | media : 1711.207792
276 -> 61 | media : 1576.655738
277 -> 49 | media : 2308.387755
278 -> 22 | media : 2576.772727
279 -> 13 | media : 3430.076923
280 -> 4 | media : 4774.500000
281 -> 8 | media : 4128.500000
282 -> 10 | media : 4048.100000
283 -> 5 | media : 1978.600000
284 -> 2 | media : 5041.500000
285 -> 3 | media : 5520.000000
287 -> 1 | media : 10027.000000
