1 -> 44034 | media : 8.850638
2 -> 29283 | media : 14.636957
3 -> 17929 | media : 27.839589
4 -> 11482 | media : 41.896360
5 -> 7786 | media : 66.766632
6 -> 5601 | media : 61.437779
7 -> 4189 | media : 26.757221
8 -> 3494 | media : 235.216085
9 -> 3032 | media : 89.917216
10 -> 2688 | media : 438.062500
11 -> 2445 | media : 80.611043
12 -> 2187 | media : 150.236397
13 -> 2010 | media : 206.885075
14 -> 1912 | media : 189.135983
15 -> 1639 | media : 60.341062
16 -> 1347 | media : 52.625093
17 -> 1187 | media : 415.151643
18 -> 1031 | media : 121.849661
19 -> 944 | media : 272.562500
20 -> 867 | media : 282.897347
21 -> 625 | media : 470.952000
22 -> 477 | media : 425.329140
23 -> 447 | media : 393.561521
24 -> 331 | media : 440.078550
25 -> 251 | media : 428.581673
26 -> 172 | media : 300.930233
27 -> 154 | media : 538.506494
28 -> 103 | media : 619.854369
29 -> 85 | media : 335.247059
30 -> 74 | media : 561.310811
31 -> 25 | media : 1351.280000
32 -> 17 | media : 1728.705882
33 -> 17 | media : 1182.941176
34 -> 11 | media : 598.909091
35 -> 10 | media : 611.000000
36 -> 1 | media : 4762.000000
173 -> 4 | media : 197.000000
174 -> 4 | media : 198.000000
175 -> 2 | media : 395.500000
176 -> 1 | media : 795.000000
179 -> 1 | media : 783.000000
180 -> 1 | media : 783.000000
181 -> 1 | media : 824.000000
182 -> 1 | media : 270.000000
183 -> 5 | media : 165.200000
184 -> 10 | media : 82.800000
185 -> 13 | media : 27.923077
186 -> 13 | media : 36.923077
187 -> 13 | media : 37.692308
188 -> 10 | media : 76.100000
189 -> 18 | media : 376.000000
190 -> 20 | media : 39.200000
191 -> 22 | media : 42.090909
192 -> 36 | media : 82.166667
193 -> 31 | media : 332.548387
194 -> 25 | media : 186.840000
195 -> 24 | media : 417.833333
196 -> 14 | media : 750.357143
197 -> 9 | media : 405.000000
198 -> 34 | media : 647.794118
199 -> 21 | media : 360.142857
200 -> 17 | media : 573.352941
201 -> 20 | media : 719.450000
202 -> 35 | media : 1050.000000
203 -> 45 | media : 586.044444
204 -> 55 | media : 845.054545
205 -> 68 | media : 359.382353
206 -> 82 | media : 572.207317
207 -> 83 | media : 413.385542
208 -> 117 | media : 464.170940
209 -> 115 | media : 724.791304
210 -> 207 | media : 466.342995
211 -> 217 | media : 347.557604
212 -> 256 | media : 371.843750
213 -> 268 | media : 281.238806
214 -> 302 | media : 302.367550
215 -> 338 | media : 277.443787
216 -> 385 | media : 221.779221
217 -> 390 | media : 625.379487
218 -> 403 | media : 944.975186
219 -> 390 | media : 375.025641
220 -> 442 | media : 268.212670
221 -> 461 | media : 270.763557
222 -> 495 | media : 421.688889
223 -> 582 | media : 253.445017
224 -> 663 | media : 200.321267
225 -> 785 | media : 161.202548
226 -> 835 | media : 208.288623
227 -> 920 | media : 278.359783
228 -> 975 | media : 290.674872
229 -> 1020 | media : 455.759804
230 -> 1143 | media : 100.867017
231 -> 1233 | media : 348.658556
232 -> 1291 | media : 97.017041
233 -> 1486 | media : 116.133244
234 -> 1514 | media : 330.144650
235 -> 1488 | media : 59.970430
236 -> 1574 | media : 125.362770
237 -> 1709 | media : 176.371562
238 -> 1800 | media : 273.994444
239 -> 1823 | media : 167.866703
240 -> 1770 | media : 192.927119
241 -> 1838 | media : 96.299782
242 -> 1904 | media : 58.430672
243 -> 1809 | media : 77.079049
244 -> 1761 | media : 223.072686
245 -> 1629 | media : 108.095764
246 -> 1523 | media : 115.120158
247 -> 1333 | media : 251.500375
248 -> 1191 | media : 261.713686
249 -> 1019 | media : 106.520118
250 -> 812 | media : 773.220443
251 -> 672 | media : 233.123512
252 -> 527 | media : 426.134725
253 -> 433 | media : 190.739030
254 -> 383 | media : 1129.493473
255 -> 382 | media : 261.659686
256 -> 326 | media : 308.226994
257 -> 233 | media : 848.888412
258 -> 191 | media : 320.282723
259 -> 157 | media : 405.331210
260 -> 121 | media : 591.289256
261 -> 109 | media : 997.834862
262 -> 73 | media : 539.273973
263 -> 72 | media : 239.583333
264 -> 40 | media : 1129.150000
265 -> 36 | media : 1284.111111
266 -> 19 | media : 1045.157895
267 -> 8 | media : 780.625000
268 -> 8 | media : 4425.000000
269 -> 4 | media : 905.000000
270 -> 2 | media : 588.500000
271 -> 3 | media : 158.666667
272 -> 3 | media : 1688.000000
273 -> 1 | media : 11638.000000
277 -> 3 | media : 4682.666667
278 -> 1 | media : 11168.000000
