1 -> 8825 | media : 6.910482
2 -> 4597 | media : 61.894279
3 -> 2275 | media : 501.744615
4 -> 1425 | media : 221.348772
5 -> 925 | media : 108.470270
6 -> 698 | media : 364.623209
7 -> 474 | media : 165.054852
8 -> 266 | media : 753.488722
9 -> 205 | media : 293.204878
10 -> 226 | media : 1087.893805
11 -> 284 | media : 727.873239
12 -> 395 | media : 160.949367
13 -> 504 | media : 235.813492
14 -> 586 | media : 391.616041
15 -> 637 | media : 103.744113
16 -> 710 | media : 92.315493
17 -> 798 | media : 468.649123
18 -> 784 | media : 66.743622
19 -> 727 | media : 145.763411
20 -> 626 | media : 702.824281
21 -> 489 | media : 574.106339
22 -> 429 | media : 613.454545
23 -> 311 | media : 791.855305
24 -> 281 | media : 339.092527
25 -> 245 | media : 676.097959
26 -> 207 | media : 228.536232
27 -> 151 | media : 529.655629
28 -> 157 | media : 453.273885
29 -> 109 | media : 638.568807
30 -> 106 | media : 902.726415
31 -> 62 | media : 3105.209677
32 -> 48 | media : 2197.208333
33 -> 38 | media : 1051.526316
34 -> 29 | media : 2093.965517
35 -> 18 | media : 3998.000000
36 -> 22 | media : 2462.454545
37 -> 25 | media : 2453.480000
38 -> 36 | media : 1642.250000
39 -> 21 | media : 2266.571429
40 -> 25 | media : 2452.720000
41 -> 5 | media : 1577.800000
42 -> 2 | media : 2820.500000
249 -> 1 | media : 874.000000
251 -> 2 | media : 2518.500000
252 -> 8 | media : 1812.375000
253 -> 17 | media : 3303.647059
254 -> 19 | media : 1178.842105
255 -> 36 | media : 2872.000000
256 -> 50 | media : 1611.920000
257 -> 55 | media : 1876.254545
258 -> 60 | media : 1154.683333
259 -> 55 | media : 1618.145455
260 -> 85 | media : 1037.152941
261 -> 114 | media : 1601.447368
262 -> 157 | media : 459.904459
263 -> 196 | media : 572.994898
264 -> 272 | media : 271.176471
265 -> 361 | media : 2132.941828
266 -> 356 | media : 146.424157
267 -> 404 | media : 340.165842
268 -> 466 | media : 765.890558
269 -> 539 | media : 204.931354
270 -> 679 | media : 773.020619
271 -> 804 | media : 173.762438
272 -> 901 | media : 648.702553
273 -> 952 | media : 149.985294
274 -> 926 | media : 177.045356
275 -> 953 | media : 271.863589
276 -> 1008 | media : 735.393849
277 -> 1062 | media : 259.751412
278 -> 1038 | media : 1096.574181
279 -> 997 | media : 146.568706
280 -> 891 | media : 236.160494
281 -> 831 | media : 183.131167
282 -> 785 | media : 242.370701
283 -> 598 | media : 175.814381
284 -> 563 | media : 600.156306
285 -> 507 | media : 330.873767
286 -> 381 | media : 434.787402
287 -> 315 | media : 1497.177778
288 -> 335 | media : 890.450746
289 -> 354 | media : 241.607345
290 -> 374 | media : 797.510695
291 -> 358 | media : 894.413408
292 -> 388 | media : 981.786082
293 -> 428 | media : 312.067757
294 -> 485 | media : 258.517526
295 -> 486 | media : 574.030864
296 -> 487 | media : 499.542094
297 -> 483 | media : 223.298137
298 -> 330 | media : 1123.618182
299 -> 268 | media : 698.805970
300 -> 242 | media : 558.103306
301 -> 212 | media : 1089.245283
302 -> 215 | media : 509.818605
303 -> 168 | media : 1188.017857
304 -> 113 | media : 319.256637
305 -> 78 | media : 1192.064103
306 -> 72 | media : 294.361111
307 -> 45 | media : 1502.711111
308 -> 32 | media : 1276.625000
309 -> 9 | media : 2342.444444
310 -> 6 | media : 6861.833333
