214 -> 988 | media : 0.422065
215 -> 965 | media : 0.424870
216 -> 910 | media : 0.531868
217 -> 855 | media : 0.541520
218 -> 756 | media : 0.458995
219 -> 725 | media : 0.496552
220 -> 628 | media : 0.450637
221 -> 620 | media : 0.461290
222 -> 566 | media : 0.554770
223 -> 478 | media : 0.456067
224 -> 423 | media : 0.442080
225 -> 379 | media : 0.448549
226 -> 319 | media : 0.467085
227 -> 274 | media : 0.368613
228 -> 231 | media : 0.337662
229 -> 157 | media : 0.363057
230 -> 129 | media : 0.333333
231 -> 91 | media : 0.373626
232 -> 82 | media : 0.365854
233 -> 57 | media : 0.210526
234 -> 39 | media : 0.307692
235 -> 28 | media : 0.428571
236 -> 26 | media : 0.423077
237 -> 25 | media : 0.440000
238 -> 16 | media : 0.437500
239 -> 25 | media : 0.360000
240 -> 16 | media : 0.375000
241 -> 14 | media : 0.285714
242 -> 16 | media : 0.250000
243 -> 9 | media : 0.222222
244 -> 7 | media : 0.000000
245 -> 1 | media : 0.000000
246 -> 1 | media : 0.000000
248 -> 1 | media : 1.000000
