1 -> 2671 | media : 4.407338
2 -> 1593 | media : 3.973007
3 -> 1146 | media : 3.584642
4 -> 836 | media : 3.700957
5 -> 773 | media : 3.834411
6 -> 426 | media : 5.523474
7 -> 300 | media : 6.270000
8 -> 238 | media : 3.617647
9 -> 217 | media : 4.041475
10 -> 162 | media : 2.629630
11 -> 100 | media : 4.230000
12 -> 91 | media : 1.989011
13 -> 100 | media : 2.220000
14 -> 156 | media : 2.211538
15 -> 202 | media : 3.866337
16 -> 239 | media : 2.355649
17 -> 256 | media : 2.355469
18 -> 297 | media : 1.835017
19 -> 332 | media : 2.569277
20 -> 326 | media : 1.947853
21 -> 323 | media : 3.009288
22 -> 311 | media : 2.688103
23 -> 256 | media : 3.207031
24 -> 196 | media : 2.612245
25 -> 175 | media : 2.120000
26 -> 156 | media : 2.980769
27 -> 171 | media : 1.988304
28 -> 157 | media : 3.101911
29 -> 139 | media : 2.208633
30 -> 119 | media : 1.823529
31 -> 97 | media : 1.979381
32 -> 63 | media : 1.682540
33 -> 62 | media : 2.032258
34 -> 49 | media : 2.530612
35 -> 33 | media : 3.000000
36 -> 24 | media : 4.541667
37 -> 16 | media : 2.125000
38 -> 24 | media : 1.583333
39 -> 26 | media : 1.807692
40 -> 22 | media : 2.409091
41 -> 10 | media : 2.000000
42 -> 8 | media : 1.625000
43 -> 2 | media : 1.000000
44 -> 2 | media : 0.000000
45 -> 1 | media : 1.000000
258 -> 1 | media : 1.000000
259 -> 2 | media : 0.000000
260 -> 1 | media : 0.000000
262 -> 1 | media : 1.000000
263 -> 3 | media : 2.000000
264 -> 1 | media : 4.000000
267 -> 1 | media : 0.000000
268 -> 3 | media : 1.333333
269 -> 12 | media : 1.833333
270 -> 16 | media : 1.437500
271 -> 16 | media : 1.937500
272 -> 35 | media : 1.228571
273 -> 58 | media : 1.482759
274 -> 79 | media : 1.075949
275 -> 63 | media : 3.047619
276 -> 88 | media : 1.647727
277 -> 124 | media : 1.862903
278 -> 154 | media : 1.688312
279 -> 173 | media : 1.421965
280 -> 199 | media : 1.964824
281 -> 192 | media : 2.078125
282 -> 262 | media : 1.637405
283 -> 281 | media : 1.775801
284 -> 276 | media : 1.909420
285 -> 271 | media : 2.250923
286 -> 296 | media : 1.898649
287 -> 320 | media : 2.006250
288 -> 328 | media : 2.679878
289 -> 392 | media : 2.492347
290 -> 405 | media : 2.323457
291 -> 416 | media : 2.627404
292 -> 418 | media : 2.569378
293 -> 410 | media : 2.321951
294 -> 395 | media : 2.539241
295 -> 400 | media : 2.807500
296 -> 375 | media : 1.970667
297 -> 327 | media : 2.550459
298 -> 290 | media : 2.920690
299 -> 242 | media : 2.623967
300 -> 221 | media : 3.542986
301 -> 223 | media : 4.340807
302 -> 331 | media : 3.948640
303 -> 346 | media : 3.786127
304 -> 305 | media : 3.878689
305 -> 323 | media : 2.975232
306 -> 380 | media : 2.850000
307 -> 414 | media : 2.789855
308 -> 440 | media : 2.584091
309 -> 523 | media : 2.764818
310 -> 614 | media : 3.791531
311 -> 757 | media : 3.488771
312 -> 769 | media : 3.547464
313 -> 655 | media : 2.903817
314 -> 449 | media : 4.383073
315 -> 334 | media : 8.449102
316 -> 258 | media : 3.647287
