1 -> 19164 | media : 2.453089
2 -> 11904 | media : 6.243868
3 -> 7208 | media : 5.633463
4 -> 5660 | media : 5.532862
5 -> 4931 | media : 5.659096
6 -> 3838 | media : 6.094581
7 -> 3090 | media : 4.545307
8 -> 2416 | media : 4.427566
9 -> 1637 | media : 3.498473
10 -> 1263 | media : 4.490103
11 -> 1179 | media : 3.808312
12 -> 929 | media : 4.233584
13 -> 835 | media : 3.380838
14 -> 899 | media : 3.072303
15 -> 1018 | media : 3.469548
16 -> 1102 | media : 2.606171
17 -> 1116 | media : 2.799283
18 -> 1162 | media : 2.620482
19 -> 1155 | media : 2.716017
20 -> 1066 | media : 2.393058
21 -> 1033 | media : 2.610842
22 -> 988 | media : 2.438259
23 -> 898 | media : 2.277283
24 -> 783 | media : 2.035760
25 -> 619 | media : 2.030695
26 -> 514 | media : 2.081712
27 -> 424 | media : 1.610849
28 -> 287 | media : 1.564460
29 -> 235 | media : 1.421277
30 -> 180 | media : 1.188889
31 -> 173 | media : 1.820809
32 -> 117 | media : 2.461538
33 -> 89 | media : 2.224719
34 -> 46 | media : 3.717391
35 -> 34 | media : 2.647059
36 -> 36 | media : 1.805556
37 -> 26 | media : 0.576923
38 -> 12 | media : 0.333333
39 -> 2 | media : 0.500000
40 -> 13 | media : 2.384615
41 -> 13 | media : 0.923077
42 -> 4 | media : 0.500000
43 -> 3 | media : 0.666667
45 -> 1 | media : 1.000000
48 -> 3 | media : 0.333333
49 -> 6 | media : 0.666667
198 -> 1 | media : 1.000000
199 -> 1 | media : 1.000000
202 -> 1 | media : 0.000000
205 -> 1 | media : 1.000000
206 -> 1 | media : 0.000000
207 -> 3 | media : 1.000000
209 -> 2 | media : 0.000000
210 -> 5 | media : 0.800000
211 -> 6 | media : 0.833333
212 -> 9 | media : 0.333333
213 -> 11 | media : 0.454545
214 -> 10 | media : 0.800000
215 -> 16 | media : 0.625000
216 -> 31 | media : 0.677419
217 -> 49 | media : 0.530612
218 -> 50 | media : 0.840000
219 -> 47 | media : 0.936170
220 -> 66 | media : 0.924242
221 -> 59 | media : 0.694915
222 -> 64 | media : 1.203125
223 -> 97 | media : 0.649485
224 -> 112 | media : 0.714286
225 -> 124 | media : 0.637097
226 -> 138 | media : 0.797101
227 -> 178 | media : 1.235955
228 -> 197 | media : 1.324873
229 -> 275 | media : 0.912727
230 -> 348 | media : 0.856322
231 -> 389 | media : 0.871465
232 -> 451 | media : 0.935698
233 -> 518 | media : 0.945946
234 -> 550 | media : 0.934545
235 -> 673 | media : 0.907875
236 -> 716 | media : 0.903631
237 -> 760 | media : 0.926316
238 -> 892 | media : 0.848655
239 -> 1019 | media : 0.901865
240 -> 1159 | media : 0.796376
241 -> 1230 | media : 0.846341
242 -> 1294 | media : 0.857032
243 -> 1408 | media : 0.872159
244 -> 1509 | media : 0.966865
245 -> 1565 | media : 0.936741
246 -> 1545 | media : 1.041424
247 -> 1545 | media : 0.994175
248 -> 1578 | media : 0.939797
249 -> 1595 | media : 0.876489
250 -> 1552 | media : 1.056057
251 -> 1578 | media : 0.970215
252 -> 1631 | media : 1.067443
253 -> 1587 | media : 0.960933
254 -> 1558 | media : 0.903723
255 -> 1546 | media : 1.029107
256 -> 1378 | media : 0.944122
257 -> 1340 | media : 1.070149
258 -> 1269 | media : 0.935382
259 -> 1165 | media : 0.919313
260 -> 1118 | media : 1.105546
261 -> 1049 | media : 1.012393
262 -> 947 | media : 0.937698
263 -> 827 | media : 0.911729
264 -> 767 | media : 0.915254
265 -> 630 | media : 0.947619
266 -> 576 | media : 0.996528
267 -> 518 | media : 0.955598
268 -> 444 | media : 0.882883
269 -> 343 | media : 1.043732
270 -> 302 | media : 1.307947
271 -> 243 | media : 0.818930
272 -> 226 | media : 0.831858
273 -> 156 | media : 0.756410
274 -> 161 | media : 0.559006
275 -> 122 | media : 0.639344
276 -> 95 | media : 0.663158
277 -> 63 | media : 0.412698
278 -> 41 | media : 0.975610
279 -> 51 | media : 0.490196
280 -> 38 | media : 0.763158
281 -> 37 | media : 0.540541
282 -> 27 | media : 0.407407
283 -> 15 | media : 0.533333
284 -> 21 | media : 0.380952
285 -> 27 | media : 0.518519
286 -> 17 | media : 0.588235
287 -> 17 | media : 0.470588
288 -> 8 | media : 0.375000
289 -> 12 | media : 0.083333
290 -> 5 | media : 0.600000
291 -> 8 | media : 0.375000
292 -> 4 | media : 0.250000
293 -> 3 | media : 0.000000
294 -> 1 | media : 0.000000
295 -> 3 | media : 0.666667
