1 -> 6468 | media : 3.247681
2 -> 3504 | media : 6.549943
3 -> 2431 | media : 4.814891
4 -> 2179 | media : 4.938963
5 -> 2260 | media : 5.107522
6 -> 1539 | media : 5.042235
7 -> 907 | media : 5.433297
8 -> 581 | media : 5.013769
9 -> 420 | media : 2.566667
10 -> 284 | media : 2.929577
11 -> 236 | media : 2.813559
12 -> 286 | media : 2.262238
13 -> 334 | media : 3.245509
14 -> 424 | media : 2.851415
15 -> 556 | media : 2.814748
16 -> 629 | media : 2.502385
17 -> 661 | media : 2.866868
18 -> 712 | media : 2.129213
19 -> 775 | media : 2.307097
20 -> 708 | media : 2.285311
21 -> 698 | media : 2.638968
22 -> 691 | media : 2.178003
23 -> 658 | media : 2.021277
24 -> 529 | media : 2.353497
25 -> 489 | media : 2.376278
26 -> 382 | media : 2.269634
27 -> 385 | media : 2.148052
28 -> 334 | media : 2.179641
29 -> 242 | media : 1.743802
30 -> 242 | media : 1.657025
31 -> 212 | media : 1.891509
32 -> 157 | media : 2.656051
33 -> 122 | media : 1.967213
34 -> 88 | media : 1.784091
35 -> 100 | media : 1.930000
36 -> 78 | media : 2.064103
37 -> 59 | media : 2.152542
38 -> 49 | media : 1.428571
39 -> 33 | media : 2.030303
40 -> 28 | media : 1.928571
41 -> 25 | media : 1.240000
42 -> 21 | media : 1.619048
43 -> 10 | media : 1.800000
44 -> 4 | media : 1.750000
45 -> 3 | media : 0.333333
242 -> 5 | media : 0.200000
243 -> 5 | media : 2.200000
244 -> 6 | media : 0.833333
245 -> 6 | media : 0.666667
246 -> 3 | media : 1.000000
247 -> 1 | media : 0.000000
248 -> 1 | media : 1.000000
249 -> 7 | media : 1.571429
250 -> 16 | media : 0.625000
251 -> 19 | media : 0.684211
252 -> 22 | media : 1.954545
253 -> 39 | media : 2.307692
254 -> 71 | media : 1.492958
255 -> 98 | media : 1.500000
256 -> 94 | media : 1.478723
257 -> 124 | media : 1.395161
258 -> 151 | media : 1.251656
259 -> 171 | media : 1.415205
260 -> 218 | media : 1.536697
261 -> 190 | media : 1.189474
262 -> 226 | media : 1.442478
263 -> 265 | media : 1.316981
264 -> 275 | media : 1.643636
265 -> 328 | media : 1.475610
266 -> 324 | media : 1.271605
267 -> 372 | media : 1.413978
268 -> 437 | media : 1.485126
269 -> 465 | media : 1.479570
270 -> 518 | media : 1.422780
271 -> 559 | media : 1.824687
272 -> 608 | media : 1.552632
273 -> 741 | media : 1.473684
274 -> 792 | media : 1.465909
275 -> 922 | media : 1.741866
276 -> 953 | media : 1.649528
277 -> 1000 | media : 1.639000
278 -> 982 | media : 1.816701
279 -> 948 | media : 1.689873
280 -> 951 | media : 1.798107
281 -> 960 | media : 1.754167
282 -> 908 | media : 2.080396
283 -> 781 | media : 2.133163
284 -> 704 | media : 2.083807
285 -> 610 | media : 2.459016
286 -> 468 | media : 1.777778
287 -> 400 | media : 1.682500
288 -> 363 | media : 1.898072
289 -> 346 | media : 2.679191
290 -> 318 | media : 2.628931
291 -> 296 | media : 1.979730
292 -> 265 | media : 1.577358
293 -> 278 | media : 1.996403
294 -> 315 | media : 2.044444
295 -> 337 | media : 1.637982
296 -> 408 | media : 1.622549
297 -> 369 | media : 1.886179
298 -> 446 | media : 1.443946
299 -> 453 | media : 2.099338
300 -> 430 | media : 1.948837
301 -> 410 | media : 2.153659
302 -> 358 | media : 1.787709
303 -> 311 | media : 2.363344
304 -> 240 | media : 1.445833
305 -> 209 | media : 1.569378
306 -> 131 | media : 2.534351
307 -> 132 | media : 1.742424
308 -> 110 | media : 1.954545
309 -> 63 | media : 1.190476
310 -> 46 | media : 3.717391
311 -> 19 | media : 1.263158
312 -> 9 | media : 0.888889
313 -> 1 | media : 0.000000
