2014/2/1
1 -> 456 | media : 5.289474
2 -> 210 | media : 2.171429
3 -> 126 | media : 1.063492
4 -> 83 | media : 0.771084
5 -> 54 | media : 0.574074
6 -> 42 | media : 1.238095
7 -> 30 | media : 0.833333
8 -> 9 | media : 0.000000
9 -> 14 | media : 0.142857
10 -> 10 | media : 0.200000
11 -> 2 | media : 0.000000
12 -> 1 | media : 1.000000
13 -> 2 | media : 0.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 262 | media : 9.190840
2 -> 187 | media : 2.614973
3 -> 105 | media : 1.047619
4 -> 68 | media : 1.264706
5 -> 35 | media : 0.857143
6 -> 26 | media : 1.615385
7 -> 22 | media : 1.272727
8 -> 15 | media : 0.266667
9 -> 8 | media : 0.375000
10 -> 4 | media : 0.000000
11 -> 2 | media : 0.500000
12 -> 2 | media : 0.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 281 | media : 8.113879
2 -> 170 | media : 4.088235
3 -> 90 | media : 1.244444
4 -> 56 | media : 1.517857
5 -> 32 | media : 1.593750
6 -> 19 | media : 1.526316
7 -> 9 | media : 2.333333
8 -> 2 | media : 1.500000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 207 | media : 11.222222
2 -> 122 | media : 4.795082
3 -> 61 | media : 1.770492
4 -> 48 | media : 1.687500
5 -> 26 | media : 1.961538
6 -> 21 | media : 1.571429
7 -> 6 | media : 4.000000
8 -> 2 | media : 1.000000
9 -> 1 | media : 0.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 158 | media : 15.398734
2 -> 90 | media : 6.288889
3 -> 28 | media : 3.178571
4 -> 29 | media : 3.172414
5 -> 18 | media : 3.166667
6 -> 12 | media : 1.916667
7 -> 9 | media : 2.888889
8 -> 4 | media : 0.250000
9 -> 2 | media : 1.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 170 | media : 13.747059
2 -> 105 | media : 6.057143
3 -> 44 | media : 2.431818
4 -> 26 | media : 2.461538
5 -> 28 | media : 2.321429
6 -> 11 | media : 3.545455
7 -> 2 | media : 9.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 125 | media : 19.800000
2 -> 73 | media : 7.958904
3 -> 28 | media : 4.250000
4 -> 10 | media : 5.300000
5 -> 7 | media : 8.428571
6 -> 8 | media : 5.875000
7 -> 1 | media : 17.000000
20 -> 2 | media : 3.500000
21 -> 2 | media : 4.500000
2014/2/1
1 -> 121 | media : 21.099174
2 -> 77 | media : 7.025974
3 -> 30 | media : 3.266667
4 -> 12 | media : 3.333333
5 -> 8 | media : 5.125000
6 -> 6 | media : 10.000000
7 -> 2 | media : 9.000000
19 -> 2 | media : 5.500000
20 -> 1 | media : 5.000000
2014/2/1
1 -> 104 | media : 24.403846
2 -> 69 | media : 8.550725
3 -> 21 | media : 5.190476
4 -> 12 | media : 4.416667
5 -> 11 | media : 3.363636
6 -> 8 | media : 4.625000
7 -> 7 | media : 4.857143
8 -> 3 | media : 0.000000
19 -> 1 | media : 16.000000
