2014/2/1
1 -> 304 | media : 6.348684
2 -> 148 | media : 3.317568
3 -> 75 | media : 1.520000
4 -> 55 | media : 1.254545
5 -> 44 | media : 1.500000
6 -> 42 | media : 0.833333
7 -> 27 | media : 1.555556
8 -> 19 | media : 0.315789
9 -> 12 | media : 0.083333
10 -> 18 | media : 0.166667
11 -> 15 | media : 0.200000
12 -> 20 | media : 0.100000
13 -> 20 | media : 0.200000
14 -> 13 | media : 0.230769
15 -> 8 | media : 0.250000
16 -> 4 | media : 0.000000
17 -> 9 | media : 0.111111
18 -> 5 | media : 0.400000
19 -> 7 | media : 0.285714
20 -> 5 | media : 3.400000
21 -> 5 | media : 0.200000
22 -> 4 | media : 0.000000
23 -> 4 | media : 0.000000
24 -> 3 | media : 0.000000
25 -> 2 | media : 0.000000
26 -> 1 | media : 0.000000
27 -> 1 | media : 0.000000
29 -> 1 | media : 0.000000
30 -> 1 | media : 0.000000
31 -> 1 | media : 0.000000
2014/2/1
1 -> 142 | media : 13.809859
2 -> 92 | media : 5.239130
3 -> 54 | media : 1.648148
4 -> 55 | media : 1.527273
5 -> 43 | media : 0.953488
6 -> 34 | media : 1.411765
7 -> 36 | media : 0.666667
8 -> 36 | media : 0.277778
9 -> 25 | media : 0.360000
10 -> 20 | media : 0.200000
11 -> 18 | media : 0.611111
12 -> 20 | media : 0.150000
13 -> 6 | media : 0.333333
14 -> 6 | media : 0.333333
15 -> 5 | media : 0.200000
16 -> 5 | media : 0.200000
17 -> 5 | media : 0.200000
18 -> 4 | media : 0.000000
19 -> 4 | media : 0.000000
20 -> 3 | media : 5.333333
22 -> 1 | media : 0.000000
2014/2/1
1 -> 224 | media : 8.102679
2 -> 137 | media : 4.510949
3 -> 58 | media : 2.482759
4 -> 50 | media : 1.500000
5 -> 44 | media : 1.659091
6 -> 41 | media : 0.878049
7 -> 25 | media : 1.240000
8 -> 19 | media : 0.684211
9 -> 9 | media : 0.222222
10 -> 11 | media : 0.272727
11 -> 6 | media : 0.500000
12 -> 8 | media : 0.250000
13 -> 5 | media : 0.000000
16 -> 3 | media : 0.333333
20 -> 1 | media : 16.000000
21 -> 1 | media : 0.000000
2014/2/1
1 -> 171 | media : 11.438596
2 -> 86 | media : 6.534884
3 -> 44 | media : 2.659091
4 -> 46 | media : 2.260870
5 -> 31 | media : 2.129032
6 -> 34 | media : 1.058824
7 -> 23 | media : 1.130435
8 -> 18 | media : 0.555556
9 -> 10 | media : 0.700000
10 -> 6 | media : 0.333333
11 -> 2 | media : 0.000000
12 -> 2 | media : 0.500000
13 -> 1 | media : 0.000000
14 -> 2 | media : 0.000000
15 -> 1 | media : 1.000000
18 -> 1 | media : 0.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 137 | media : 14.094891
2 -> 83 | media : 6.602410
3 -> 28 | media : 4.928571
4 -> 20 | media : 4.550000
5 -> 16 | media : 3.437500
6 -> 22 | media : 2.136364
7 -> 16 | media : 1.687500
8 -> 13 | media : 0.692308
9 -> 5 | media : 0.400000
10 -> 9 | media : 0.888889
11 -> 3 | media : 1.000000
12 -> 1 | media : 1.000000
14 -> 1 | media : 1.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 124 | media : 15.701613
2 -> 80 | media : 7.450000
3 -> 38 | media : 2.973684
4 -> 28 | media : 3.000000
5 -> 34 | media : 2.147059
6 -> 28 | media : 1.500000
7 -> 21 | media : 1.571429
8 -> 11 | media : 0.545455
9 -> 3 | media : 2.000000
10 -> 4 | media : 0.250000
11 -> 1 | media : 0.000000
12 -> 3 | media : 0.666667
13 -> 1 | media : 0.000000
20 -> 1 | media : 16.000000
2014/2/1
1 -> 125 | media : 16.640000
2 -> 82 | media : 6.329268
3 -> 34 | media : 4.647059
4 -> 16 | media : 5.625000
5 -> 15 | media : 5.266667
6 -> 13 | media : 3.307692
7 -> 9 | media : 4.555556
8 -> 6 | media : 0.666667
9 -> 1 | media : 1.000000
20 -> 2 | media : 4.000000
21 -> 2 | media : 4.000000
2014/2/1
1 -> 93 | media : 23.053763
2 -> 57 | media : 9.666667
3 -> 25 | media : 3.680000
4 -> 22 | media : 3.318182
5 -> 24 | media : 3.333333
6 -> 15 | media : 4.466667
