1 -> 2671 | media : 209.393486
2 -> 1593 | media : 180.426868
3 -> 1146 | media : 215.413613
4 -> 836 | media : 148.455742
5 -> 773 | media : 268.695990
6 -> 426 | media : 435.725352
7 -> 300 | media : 510.313333
8 -> 238 | media : 320.680672
9 -> 217 | media : 236.668203
10 -> 162 | media : 337.401235
11 -> 100 | media : 282.690000
12 -> 91 | media : 251.153846
13 -> 100 | media : 282.830000
14 -> 156 | media : 199.615385
15 -> 202 | media : 190.806931
16 -> 239 | media : 163.472803
17 -> 256 | media : 220.722656
18 -> 297 | media : 266.000000
19 -> 332 | media : 197.813253
20 -> 326 | media : 196.171779
21 -> 323 | media : 220.390093
22 -> 311 | media : 257.209003
23 -> 256 | media : 360.132812
24 -> 196 | media : 416.127551
25 -> 175 | media : 175.400000
26 -> 156 | media : 324.961538
27 -> 171 | media : 366.912281
28 -> 157 | media : 369.904459
29 -> 139 | media : 397.748201
30 -> 119 | media : 169.386555
31 -> 97 | media : 413.938144
32 -> 63 | media : 352.476190
33 -> 62 | media : 437.822581
34 -> 49 | media : 535.387755
35 -> 33 | media : 288.696970
36 -> 24 | media : 409.583333
37 -> 16 | media : 928.062500
38 -> 24 | media : 323.250000
39 -> 26 | media : 268.923077
40 -> 22 | media : 290.636364
41 -> 10 | media : 873.700000
42 -> 8 | media : 1326.875000
43 -> 2 | media : 7998.000000
44 -> 2 | media : 1445.500000
45 -> 1 | media : 1446.000000
258 -> 1 | media : 1446.000000
259 -> 2 | media : 723.000000
260 -> 1 | media : 1446.000000
262 -> 1 | media : 1423.000000
263 -> 3 | media : 1431.000000
264 -> 1 | media : 3340.000000
267 -> 1 | media : 58.000000
268 -> 3 | media : 614.666667
269 -> 12 | media : 577.750000
270 -> 16 | media : 150.062500
271 -> 16 | media : 311.562500
272 -> 35 | media : 357.428571
273 -> 58 | media : 207.879310
274 -> 79 | media : 163.772152
275 -> 63 | media : 141.238095
276 -> 88 | media : 189.636364
277 -> 124 | media : 208.314516
278 -> 154 | media : 209.844156
279 -> 173 | media : 178.791908
280 -> 199 | media : 204.839196
281 -> 192 | media : 217.119792
282 -> 262 | media : 231.320611
283 -> 281 | media : 172.925267
284 -> 276 | media : 208.003623
285 -> 271 | media : 140.247232
286 -> 296 | media : 194.263514
287 -> 320 | media : 118.218750
288 -> 328 | media : 190.829268
289 -> 392 | media : 129.596939
290 -> 405 | media : 167.725926
291 -> 416 | media : 198.862981
292 -> 418 | media : 188.002392
293 -> 410 | media : 167.187805
294 -> 395 | media : 218.577215
295 -> 400 | media : 161.085000
296 -> 375 | media : 237.906667
297 -> 327 | media : 302.305810
298 -> 290 | media : 319.227586
299 -> 242 | media : 157.082645
300 -> 221 | media : 176.217195
301 -> 223 | media : 257.309417
302 -> 331 | media : 392.746224
303 -> 346 | media : 166.644509
304 -> 305 | media : 200.137705
305 -> 323 | media : 281.643963
306 -> 380 | media : 189.194737
307 -> 414 | media : 186.062802
308 -> 440 | media : 268.661364
309 -> 523 | media : 356.934990
310 -> 614 | media : 217.866450
311 -> 757 | media : 82.963012
312 -> 769 | media : 135.247074
313 -> 655 | media : 69.603053
314 -> 449 | media : 92.861915
315 -> 334 | media : 110.251497
316 -> 258 | media : 62000.387597
