1 -> 150605 | media : 0.848059
2 -> 98290 | media : 1.512789
3 -> 60797 | media : 1.994852
4 -> 41323 | media : 5.178109
5 -> 30967 | media : 5.431911
6 -> 23306 | media : 7.205312
7 -> 17297 | media : 6.514020
8 -> 13492 | media : 7.219463
9 -> 10802 | media : 10.001111
10 -> 8987 | media : 12.775342
11 -> 7797 | media : 13.380787
12 -> 6888 | media : 11.584785
13 -> 5919 | media : 16.202737
14 -> 5376 | media : 14.004092
15 -> 5028 | media : 13.250000
16 -> 4483 | media : 17.483159
17 -> 4066 | media : 14.837924
18 -> 3711 | media : 23.478847
19 -> 3436 | media : 21.667346
20 -> 2966 | media : 23.812205
21 -> 2497 | media : 22.411294
22 -> 2034 | media : 28.341200
23 -> 1717 | media : 27.382644
24 -> 1372 | media : 31.123907
25 -> 1148 | media : 39.405052
26 -> 831 | media : 41.571600
27 -> 686 | media : 40.930029
28 -> 530 | media : 50.192453
29 -> 482 | media : 42.653527
30 -> 369 | media : 90.474255
31 -> 292 | media : 92.195205
32 -> 231 | media : 73.138528
33 -> 145 | media : 200.800000
34 -> 118 | media : 117.305085
35 -> 99 | media : 89.181818
36 -> 80 | media : 127.050000
37 -> 61 | media : 155.032787
38 -> 58 | media : 127.586207
39 -> 68 | media : 168.838235
40 -> 55 | media : 169.254545
41 -> 48 | media : 66.104167
42 -> 57 | media : 52.403509
43 -> 47 | media : 113.574468
44 -> 57 | media : 85.719298
45 -> 75 | media : 40.813333
46 -> 127 | media : 70.763780
47 -> 135 | media : 73.829630
48 -> 107 | media : 38.943925
49 -> 108 | media : 58.435185
50 -> 111 | media : 66.207207
51 -> 119 | media : 52.378151
52 -> 115 | media : 52.017391
53 -> 137 | media : 40.576642
54 -> 127 | media : 29.858268
55 -> 116 | media : 35.336207
56 -> 110 | media : 34.118182
57 -> 121 | media : 41.504132
58 -> 143 | media : 36.174825
59 -> 145 | media : 48.068966
60 -> 148 | media : 35.094595
61 -> 170 | media : 49.352941
62 -> 182 | media : 47.604396
63 -> 197 | media : 33.695431
64 -> 244 | media : 38.360656
65 -> 270 | media : 45.040741
66 -> 243 | media : 59.711934
67 -> 248 | media : 63.697581
68 -> 250 | media : 45.292000
69 -> 286 | media : 65.454545
70 -> 269 | media : 59.037175
71 -> 279 | media : 34.107527
72 -> 326 | media : 24.926380
73 -> 273 | media : 48.366300
74 -> 307 | media : 47.592834
75 -> 293 | media : 26.610922
76 -> 302 | media : 50.158940
77 -> 303 | media : 46.580858
78 -> 325 | media : 53.341538
79 -> 325 | media : 40.981538
80 -> 383 | media : 37.015666
81 -> 449 | media : 47.396437
82 -> 421 | media : 52.945368
83 -> 414 | media : 61.077295
