1 -> 1113 | media : 693.929919
2 -> 839 | media : 364.793802
3 -> 488 | media : 571.823770
4 -> 273 | media : 506.882784
5 -> 243 | media : 442.473251
6 -> 185 | media : 1262.605405
7 -> 112 | media : 543.598214
8 -> 68 | media : 1116.985294
9 -> 39 | media : 1317.153846
10 -> 23 | media : 1664.000000
11 -> 29 | media : 760.137931
12 -> 49 | media : 291.448980
13 -> 57 | media : 447.192982
14 -> 79 | media : 297.025316
15 -> 83 | media : 418.554217
16 -> 117 | media : 383.341880
17 -> 112 | media : 494.053571
18 -> 144 | media : 677.173611
19 -> 167 | media : 529.892216
20 -> 167 | media : 819.802395
21 -> 170 | media : 689.764706
22 -> 168 | media : 989.589286
23 -> 127 | media : 1056.535433
24 -> 91 | media : 947.318681
25 -> 62 | media : 487.903226
26 -> 47 | media : 993.191489
27 -> 47 | media : 789.340426
28 -> 35 | media : 788.485714
29 -> 16 | media : 1313.125000
30 -> 17 | media : 1248.411765
31 -> 17 | media : 2051.000000
32 -> 17 | media : 561.117647
33 -> 7 | media : 1541.714286
34 -> 7 | media : 1112.857143
35 -> 3 | media : 2446.666667
38 -> 1 | media : 3803.000000
40 -> 2 | media : 4049.000000
41 -> 2 | media : 4051.500000
42 -> 2 | media : 4050.500000
270 -> 1 | media : 4276.000000
271 -> 1 | media : 4274.000000
272 -> 2 | media : 4703.000000
273 -> 1 | media : 3803.000000
274 -> 4 | media : 957.250000
275 -> 2 | media : 2138.500000
276 -> 4 | media : 1075.500000
277 -> 4 | media : 651.750000
278 -> 11 | media : 471.818182
279 -> 23 | media : 808.565217
280 -> 30 | media : 873.633333
281 -> 24 | media : 771.041667
282 -> 35 | media : 727.685714
283 -> 35 | media : 585.657143
284 -> 38 | media : 1136.184211
285 -> 59 | media : 522.627119
286 -> 70 | media : 347.514286
287 -> 59 | media : 866.000000
288 -> 86 | media : 849.918605
289 -> 96 | media : 805.541667
290 -> 124 | media : 512.209677
291 -> 137 | media : 532.416058
292 -> 180 | media : 518.500000
293 -> 198 | media : 344.994949
294 -> 185 | media : 404.345946
295 -> 167 | media : 498.658683
296 -> 161 | media : 264.677019
297 -> 157 | media : 723.012739
298 -> 138 | media : 779.521739
299 -> 121 | media : 446.090909
300 -> 147 | media : 360.741497
301 -> 84 | media : 866.309524
302 -> 91 | media : 464.901099
303 -> 111 | media : 371.108108
304 -> 140 | media : 252.200000
305 -> 122 | media : 677.680328
306 -> 131 | media : 302.351145
307 -> 137 | media : 617.591241
308 -> 139 | media : 468.877698
309 -> 184 | media : 669.961957
310 -> 294 | media : 570.629252
311 -> 541 | media : 153.260628
312 -> 689 | media : 433.465893
313 -> 774 | media : 78.770026
314 -> 773 | media : 103.018111
315 -> 572 | media : 104.360140
316 -> 750 | media : 58646.106667
