196 -> 114 | media : 95.964912
197 -> 96 | media : 71.270833
198 -> 83 | media : 90.746988
199 -> 64 | media : 134.125000
200 -> 61 | media : 67.180328
201 -> 57 | media : 136.298246
202 -> 42 | media : 40.190476
203 -> 33 | media : 226.757576
204 -> 23 | media : 24.652174
205 -> 22 | media : 63.818182
206 -> 14 | media : 79.857143
207 -> 9 | media : 129.000000
208 -> 5 | media : 87.800000
209 -> 5 | media : 72.400000
210 -> 1 | media : 9.000000
211 -> 1 | media : 13.000000
213 -> 3 | media : 32.333333
