1 -> 279218 | media : 0.723395
2 -> 184172 | media : 0.897275
3 -> 112001 | media : 1.714895
4 -> 72657 | media : 3.164513
5 -> 50910 | media : 4.452210
6 -> 36127 | media : 6.725552
7 -> 26582 | media : 5.294861
8 -> 20437 | media : 6.014777
9 -> 15881 | media : 8.131541
10 -> 12389 | media : 11.315925
11 -> 9902 | media : 15.119572
12 -> 7960 | media : 17.399121
13 -> 6706 | media : 18.952878
14 -> 5762 | media : 18.331656
15 -> 5051 | media : 17.785587
16 -> 4515 | media : 18.641196
17 -> 3967 | media : 21.851273
18 -> 3474 | media : 26.556419
19 -> 2985 | media : 30.011725
20 -> 2605 | media : 34.590403
21 -> 2268 | media : 33.449735
22 -> 1914 | media : 31.884013
23 -> 1690 | media : 30.265680
24 -> 1422 | media : 38.792546
25 -> 1258 | media : 49.061208
26 -> 1087 | media : 40.151794
27 -> 992 | media : 40.918347
28 -> 949 | media : 42.937829
29 -> 874 | media : 35.228833
30 -> 836 | media : 62.175837
31 -> 821 | media : 55.856273
32 -> 919 | media : 43.466812
33 -> 807 | media : 58.171004
34 -> 783 | media : 55.692209
35 -> 812 | media : 45.548030
36 -> 881 | media : 30.493757
37 -> 808 | media : 37.693069
38 -> 882 | media : 38.513605
39 -> 904 | media : 56.694690
40 -> 972 | media : 57.201646
41 -> 946 | media : 34.383721
42 -> 1015 | media : 41.755665
43 -> 1043 | media : 42.634708
44 -> 1063 | media : 47.971778
45 -> 1041 | media : 38.037464
46 -> 1089 | media : 42.000000
47 -> 1117 | media : 57.994628
48 -> 1142 | media : 38.533275
49 -> 1186 | media : 55.069983
50 -> 1188 | media : 49.133838
51 -> 1263 | media : 47.434679
52 -> 1399 | media : 37.548964
53 -> 1424 | media : 35.447331
54 -> 1442 | media : 75.248266
55 -> 1621 | media : 36.531771
56 -> 1744 | media : 33.658830
57 -> 1899 | media : 31.936809
58 -> 1944 | media : 35.023148
59 -> 2006 | media : 28.493519
60 -> 2060 | media : 39.675243
61 -> 2189 | media : 32.207401
62 -> 2225 | media : 28.743820
63 -> 2317 | media : 26.821752
64 -> 2456 | media : 21.535423
65 -> 2690 | media : 24.379182
66 -> 2922 | media : 28.531143
67 -> 2965 | media : 23.029005
68 -> 3192 | media : 26.573308
69 -> 3262 | media : 22.668608
70 -> 3385 | media : 31.568390
71 -> 3379 | media : 18.531518
72 -> 3511 | media : 22.722017
73 -> 3479 | media : 25.969819
74 -> 3619 | media : 20.395137
75 -> 3637 | media : 23.114380
76 -> 3754 | media : 21.404635
77 -> 3780 | media : 15.441005
78 -> 3868 | media : 25.016287
79 -> 3753 | media : 14.181721
80 -> 3909 | media : 18.109747
81 -> 4015 | media : 21.950685
82 -> 3993 | media : 19.494616
83 -> 3882 | media : 19.390778
84 -> 3894 | media : 12.645095
85 -> 3870 | media : 23.326357
86 -> 3803 | media : 15.083618
87 -> 3916 | media : 17.400409
88 -> 3801 | media : 14.140489
89 -> 3532 | media : 25.843998
90 -> 3462 | media : 18.685153
91 -> 3363 | media : 18.881356
92 -> 3263 | media : 16.301869
93 -> 3043 | media : 17.967466
94 -> 2971 | media : 19.799058
95 -> 2790 | media : 18.222222
96 -> 2694 | media : 23.633259
97 -> 2617 | media : 21.956821
98 -> 2393 | media : 18.188048
99 -> 2210 | media : 21.440271
100 -> 2021 | media : 15.648689
101 -> 1838 | media : 26.338411
102 -> 1690 | media : 21.155030
103 -> 1592 | media : 17.971106
104 -> 1305 | media : 32.993870
105 -> 1251 | media : 23.340528
106 -> 1169 | media : 24.136869
107 -> 1036 | media : 24.899614
108 -> 874 | media : 26.300915
109 -> 797 | media : 30.243413
110 -> 694 | media : 23.306916
111 -> 609 | media : 29.610837
112 -> 561 | media : 34.208556
113 -> 515 | media : 72.586408
114 -> 510 | media : 19.439216
115 -> 419 | media : 67.610979
116 -> 421 | media : 31.805226
117 -> 309 | media : 28.763754
118 -> 292 | media : 57.599315
119 -> 254 | media : 22.169291
120 -> 195 | media : 50.594872
121 -> 155 | media : 53.303226
122 -> 156 | media : 74.250000
123 -> 117 | media : 94.504274
124 -> 96 | media : 70.885417
125 -> 73 | media : 120.287671
126 -> 57 | media : 152.894737
127 -> 54 | media : 146.259259
128 -> 35 | media : 142.885714
129 -> 28 | media : 119.392857
130 -> 20 | media : 17.850000
131 -> 18 | media : 28.388889
132 -> 16 | media : 24.250000
133 -> 17 | media : 30.470588
134 -> 13 | media : 90.846154
135 -> 9 | media : 34.111111
136 -> 4 | media : 5.500000
137 -> 9 | media : 17.000000
138 -> 7 | media : 24.285714
139 -> 8 | media : 24.000000
140 -> 3 | media : 1582.333333
141 -> 3 | media : 6.333333
143 -> 1 | media : 7.000000
