1 -> 744689 | media : 1.308762
2 -> 464335 | media : 1.648512
3 -> 223327 | media : 4.429111
4 -> 131880 | media : 5.732719
5 -> 88190 | media : 11.196802
6 -> 61481 | media : 20.479725
7 -> 44063 | media : 15.048885
8 -> 32119 | media : 20.195772
9 -> 23333 | media : 24.756782
10 -> 17401 | media : 42.757370
11 -> 12940 | media : 55.118856
12 -> 9806 | media : 59.829594
13 -> 7354 | media : 55.515910
14 -> 5593 | media : 42.702843
15 -> 4361 | media : 87.270809
16 -> 3449 | media : 95.733836
17 -> 2743 | media : 82.224572
18 -> 2087 | media : 123.391950
19 -> 1755 | media : 118.544729
20 -> 1361 | media : 166.099927
21 -> 1088 | media : 125.285846
22 -> 822 | media : 201.783455
23 -> 601 | media : 204.043261
24 -> 437 | media : 224.903890
25 -> 313 | media : 257.623003
26 -> 213 | media : 308.342723
27 -> 192 | media : 172.921875
28 -> 150 | media : 214.066667
29 -> 106 | media : 242.716981
30 -> 58 | media : 519.431034
31 -> 33 | media : 497.818182
32 -> 21 | media : 499.571429
33 -> 9 | media : 242.555556
34 -> 6 | media : 895.666667
35 -> 1 | media : 751.000000
36 -> 2 | media : 2221.500000
37 -> 1 | media : 6.000000
