1 -> 930134 | media : 2.029488
2 -> 540465 | media : 3.064598
3 -> 185323 | media : 12.367299
4 -> 84280 | media : 27.843308
5 -> 43410 | media : 53.842778
6 -> 24024 | media : 93.684441
7 -> 13271 | media : 70.715244
8 -> 7330 | media : 85.036016
9 -> 3870 | media : 107.840827
10 -> 2098 | media : 308.623928
11 -> 1211 | media : 340.528489
12 -> 831 | media : 357.469314
13 -> 770 | media : 343.876623
14 -> 799 | media : 200.504380
15 -> 816 | media : 325.670343
16 -> 756 | media : 414.280423
17 -> 682 | media : 254.543988
18 -> 598 | media : 406.003344
19 -> 557 | media : 477.421903
20 -> 498 | media : 404.734940
21 -> 418 | media : 307.631579
22 -> 353 | media : 408.396601
23 -> 288 | media : 448.187500
24 -> 212 | media : 628.245283
25 -> 151 | media : 659.549669
26 -> 125 | media : 500.104000
27 -> 129 | media : 392.992248
28 -> 79 | media : 483.151899
29 -> 50 | media : 508.660000
30 -> 24 | media : 610.041667
31 -> 14 | media : 496.714286
32 -> 9 | media : 768.888889
33 -> 4 | media : 847.750000
34 -> 1 | media : 1030.000000
