2014/2/1
3 -> 8202 | media : 3.262497
4 -> 4893 | media : 1.936440
5 -> 3209 | media : 1.516360
6 -> 2144 | media : 1.054571
7 -> 1550 | media : 0.694194
8 -> 1143 | media : 0.708661
9 -> 981 | media : 0.655454
10 -> 825 | media : 0.512727
11 -> 692 | media : 0.517341
12 -> 638 | media : 0.758621
13 -> 625 | media : 0.667200
14 -> 523 | media : 0.487572
15 -> 437 | media : 0.462243
16 -> 354 | media : 0.403955
17 -> 287 | media : 0.324042
18 -> 233 | media : 0.523605
19 -> 199 | media : 0.447236
20 -> 149 | media : 0.409396
21 -> 138 | media : 0.579710
22 -> 108 | media : 0.583333
23 -> 100 | media : 0.650000
24 -> 78 | media : 0.256410
25 -> 62 | media : 0.225806
26 -> 49 | media : 0.285714
27 -> 42 | media : 0.190476
28 -> 40 | media : 0.250000
29 -> 38 | media : 0.184211
30 -> 22 | media : 0.363636
31 -> 29 | media : 0.068966
32 -> 21 | media : 0.142857
33 -> 14 | media : 0.357143
34 -> 13 | media : 0.153846
35 -> 10 | media : 0.100000
36 -> 7 | media : 0.142857
37 -> 5 | media : 0.200000
38 -> 4 | media : 0.250000
40 -> 4 | media : 0.000000
41 -> 3 | media : 0.666667
42 -> 1 | media : 0.000000
2014/2/7
1 -> 23552 | media : 2.215863
2 -> 14800 | media : 8.219054
3 -> 7514 | media : 3.265105
4 -> 4292 | media : 1.963653
5 -> 2853 | media : 1.665966
6 -> 1877 | media : 1.646777
7 -> 1459 | media : 1.185058
8 -> 1084 | media : 1.159594
9 -> 837 | media : 0.685783
10 -> 719 | media : 0.653686
11 -> 643 | media : 0.517885
12 -> 582 | media : 0.699313
13 -> 544 | media : 0.716912
14 -> 454 | media : 0.665198
15 -> 424 | media : 0.691038
16 -> 362 | media : 0.577348
17 -> 322 | media : 0.661491
18 -> 312 | media : 0.490385
19 -> 292 | media : 0.448630
20 -> 210 | media : 0.547619
21 -> 180 | media : 0.566667
22 -> 167 | media : 0.538922
23 -> 138 | media : 0.659420
24 -> 121 | media : 0.429752
25 -> 92 | media : 0.326087
26 -> 57 | media : 0.263158
27 -> 56 | media : 0.357143
28 -> 37 | media : 0.270270
29 -> 36 | media : 0.222222
30 -> 22 | media : 0.227273
31 -> 18 | media : 0.166667
32 -> 21 | media : 0.285714
33 -> 10 | media : 0.300000
34 -> 7 | media : 0.142857
35 -> 6 | media : 0.166667
36 -> 7 | media : 0.285714
37 -> 7 | media : 0.000000
38 -> 6 | media : 0.333333
39 -> 3 | media : 0.000000
40 -> 2 | media : 0.000000
41 -> 2 | media : 0.000000
42 -> 1 | media : 0.000000
43 -> 3 | media : 0.000000
45 -> 1 | media : 0.000000
2014/2/8
1 -> 16704 | media : 3.134339
2 -> 10682 | media : 12.452069
3 -> 5690 | media : 4.293497
4 -> 3420 | media : 3.011404
5 -> 2322 | media : 2.553402
6 -> 1656 | media : 1.763889
7 -> 1247 | media : 1.540497
8 -> 797 | media : 0.934755
9 -> 646 | media : 0.772446
10 -> 596 | media : 1.085570
11 -> 545 | media : 1.084404
12 -> 526 | media : 0.832700
13 -> 431 | media : 0.921114
14 -> 412 | media : 0.713592
15 -> 365 | media : 0.734247
16 -> 280 | media : 0.639286
17 -> 221 | media : 0.669683
18 -> 153 | media : 0.888889
19 -> 135 | media : 0.466667
20 -> 91 | media : 0.527473
