2014/2/1
1 -> 15746 | media : 4.747110
2 -> 9609 | media : 14.462899
3 -> 4410 | media : 4.427438
4 -> 2815 | media : 2.250089
5 -> 1992 | media : 2.321787
6 -> 1382 | media : 3.700434
7 -> 948 | media : 1.586498
8 -> 655 | media : 1.181679
9 -> 438 | media : 0.662100
10 -> 284 | media : 0.602113
11 -> 204 | media : 0.730392
12 -> 118 | media : 0.542373
13 -> 58 | media : 0.224138
14 -> 36 | media : 0.166667
15 -> 16 | media : 0.687500
16 -> 11 | media : 0.181818
17 -> 8 | media : 0.125000
18 -> 15 | media : 3.466667
19 -> 36 | media : 8.055556
20 -> 47 | media : 8.234043
21 -> 34 | media : 11.088235
22 -> 20 | media : 9.350000
23 -> 10 | media : 12.800000
24 -> 4 | media : 4.750000
25 -> 2 | media : 1.000000
2014/2/2
1 -> 16852 | media : 4.319903
2 -> 10506 | media : 12.687607
3 -> 4554 | media : 5.285903
4 -> 2795 | media : 2.810376
5 -> 1921 | media : 1.845914
6 -> 1280 | media : 1.966406
7 -> 812 | media : 2.775862
8 -> 494 | media : 3.216599
9 -> 302 | media : 0.509934
10 -> 185 | media : 0.583784
11 -> 153 | media : 0.555556
12 -> 152 | media : 0.901316
13 -> 145 | media : 0.668966
14 -> 133 | media : 0.729323
15 -> 101 | media : 0.574257
16 -> 65 | media : 0.538462
17 -> 45 | media : 0.733333
18 -> 26 | media : 3.346154
19 -> 24 | media : 4.833333
20 -> 34 | media : 11.970588
21 -> 35 | media : 8.800000
22 -> 33 | media : 5.454545
23 -> 31 | media : 5.516129
24 -> 28 | media : 2.285714
25 -> 17 | media : 2.941176
26 -> 13 | media : 3.461538
27 -> 9 | media : 1.333333
28 -> 3 | media : 5.333333
29 -> 2 | media : 1.000000
30 -> 2 | media : 4.000000
31 -> 1 | media : 4.000000
2014/2/3
1 -> 22272 | media : 2.715562
2 -> 13617 | media : 9.198061
3 -> 6293 | media : 3.628794
4 -> 3884 | media : 2.250257
5 -> 2779 | media : 2.145016
6 -> 1849 | media : 1.404002
7 -> 1273 | media : 1.263158
8 -> 808 | media : 0.814356
9 -> 552 | media : 0.539855
10 -> 386 | media : 0.507772
11 -> 266 | media : 0.774436
12 -> 185 | media : 0.843243
13 -> 130 | media : 1.084615
14 -> 98 | media : 0.775510
15 -> 92 | media : 1.402174
16 -> 79 | media : 2.734177
17 -> 57 | media : 3.964912
18 -> 40 | media : 4.825000
19 -> 27 | media : 8.444444
20 -> 24 | media : 3.833333
21 -> 13 | media : 4.769231
22 -> 10 | media : 1.900000
23 -> 9 | media : 3.444444
24 -> 3 | media : 1.000000
2014/2/4
1 -> 26943 | media : 2.337268
2 -> 16589 | media : 8.743806
3 -> 7822 | media : 2.857709
4 -> 4689 | media : 1.908083
5 -> 2967 | media : 1.390630
6 -> 1932 | media : 0.888199
7 -> 1329 | media : 0.894658
8 -> 899 | media : 1.041157
9 -> 587 | media : 0.703578
10 -> 381 | media : 0.543307
11 -> 264 | media : 0.681818
12 -> 228 | media : 0.850877
13 -> 209 | media : 1.009569
14 -> 147 | media : 2.183673
15 -> 145 | media : 1.675862
16 -> 158 | media : 1.246835
17 -> 126 | media : 1.873016
18 -> 105 | media : 1.657143
19 -> 84 | media : 1.321429
20 -> 47 | media : 1.914894
21 -> 29 | media : 0.862069
22 -> 20 | media : 0.550000
23 -> 13 | media : 0.153846
24 -> 12 | media : 0.250000
25 -> 7 | media : 0.428571
26 -> 3 | media : 0.333333
27 -> 2 | media : 0.000000
28 -> 2 | media : 0.500000
29 -> 1 | media : 0.000000
2014/2/5
1 -> 28447 | media : 1.788519
2 -> 17924 | media : 8.061314
3 -> 8939 | media : 2.416266
4 -> 5319 | media : 1.936266
5 -> 3422 | media : 1.303916
6 -> 2364 | media : 0.975042
7 -> 1511 | media : 0.581734
8 -> 1034 | media : 0.893617
9 -> 702 | media : 0.958689
10 -> 525 | media : 1.259048
11 -> 399 | media : 0.914787
12 -> 322 | media : 1.105590
13 -> 264 | media : 1.219697
14 -> 203 | media : 1.197044
15 -> 151 | media : 1.072848
16 -> 114 | media : 1.236842
17 -> 73 | media : 1.068493
18 -> 61 | media : 0.540984
19 -> 49 | media : 0.244898
20 -> 47 | media : 0.212766
21 -> 44 | media : 0.250000
22 -> 31 | media : 0.129032
23 -> 15 | media : 0.266667
24 -> 12 | media : 0.083333
25 -> 8 | media : 0.000000
26 -> 8 | media : 0.125000
27 -> 8 | media : 0.125000
28 -> 2 | media : 0.000000
29 -> 1 | media : 0.000000
2014/2/6
1 -> 28971 | media : 1.885023
2 -> 17832 | media : 8.150179
3 -> 8314 | media : 3.031273
4 -> 4986 | media : 1.831528
5 -> 3386 | media : 1.223863
6 -> 2272 | media : 1.006602
7 -> 1641 | media : 0.597806
8 -> 1178 | media : 0.691851
9 -> 831 | media : 0.713598
10 -> 602 | media : 0.564784
11 -> 466 | media : 0.671674
12 -> 331 | media : 0.942598
13 -> 234 | media : 1.217949
14 -> 158 | media : 0.822785
15 -> 109 | media : 0.825688
16 -> 78 | media : 0.679487
17 -> 77 | media : 0.363636
18 -> 50 | media : 1.420000
19 -> 49 | media : 0.816327
20 -> 36 | media : 1.166667
21 -> 30 | media : 1.733333
22 -> 30 | media : 1.533333
23 -> 18 | media : 2.555556
24 -> 5 | media : 0.000000
25 -> 3 | media : 0.000000
26 -> 3 | media : 0.333333
28 -> 1 | media : 0.000000
32 -> 1 | media : 1.000000
33 -> 1 | media : 0.000000
2014/2/7
1 -> 27234 | media : 2.099802
2 -> 16786 | media : 8.005659
3 -> 7915 | media : 3.172836
4 -> 4485 | media : 1.490301
5 -> 3014 | media : 1.609821
6 -> 2186 | media : 1.420860
7 -> 1649 | media : 1.063069
8 -> 1194 | media : 1.082077
9 -> 796 | media : 0.747487
10 -> 604 | media : 0.759934
11 -> 460 | media : 0.550000
12 -> 362 | media : 0.712707
13 -> 232 | media : 0.887931
14 -> 207 | media : 0.951691
15 -> 150 | media : 1.320000
16 -> 120 | media : 0.858333
17 -> 97 | media : 1.020619
18 -> 82 | media : 0.804878
19 -> 78 | media : 0.743590
20 -> 55 | media : 0.745455
21 -> 56 | media : 1.035714
22 -> 45 | media : 1.088889
23 -> 35 | media : 1.771429
24 -> 24 | media : 1.083333
25 -> 16 | media : 1.062500
26 -> 8 | media : 0.375000
27 -> 4 | media : 0.500000
28 -> 3 | media : 0.000000
29 -> 2 | media : 0.500000
30 -> 1 | media : 0.000000
2014/2/8
1 -> 19491 | media : 3.204812
2 -> 12348 | media : 12.423307
3 -> 6298 | media : 4.008733
4 -> 3896 | media : 2.653491
5 -> 2538 | media : 1.931048
6 -> 1819 | media : 1.890599
7 -> 1326 | media : 1.264706
8 -> 828 | media : 1.018116
9 -> 551 | media : 0.818512
10 -> 445 | media : 1.435955
11 -> 290 | media : 1.648276
12 -> 196 | media : 1.423469
13 -> 151 | media : 1.523179
14 -> 98 | media : 1.969388
15 -> 60 | media : 1.700000
16 -> 34 | media : 1.764706
17 -> 20 | media : 0.200000
18 -> 8 | media : 0.250000
19 -> 1 | media : 0.000000
20 -> 2 | media : 0.000000
21 -> 3 | media : 0.666667
2014/2/9
1 -> 17033 | media : 3.387953
2 -> 10563 | media : 13.286850
3 -> 5363 | media : 4.377028
4 -> 3348 | media : 3.461171
5 -> 2272 | media : 3.376320
6 -> 1453 | media : 1.746731
7 -> 834 | media : 1.901679
8 -> 506 | media : 2.108696
9 -> 326 | media : 1.944785
10 -> 216 | media : 1.268519
11 -> 123 | media : 0.853659
12 -> 108 | media : 1.074074
13 -> 69 | media : 1.695652
14 -> 49 | media : 2.448980
