1 -> 28358 | media : 17.195677
2 -> 17563 | media : 16.659682
3 -> 10827 | media : 68.627413
4 -> 6693 | media : 114.223069
5 -> 4152 | media : 47.521195
6 -> 2593 | media : 116.257617
7 -> 1748 | media : 54.697368
8 -> 1431 | media : 626.106918
9 -> 1258 | media : 113.483307
10 -> 1218 | media : 691.747947
11 -> 1237 | media : 179.805982
12 -> 1216 | media : 94.296053
13 -> 1269 | media : 319.204098
14 -> 1246 | media : 426.230337
15 -> 1251 | media : 58.394884
16 -> 1161 | media : 50.672696
17 -> 1146 | media : 567.951134
18 -> 966 | media : 91.945135
19 -> 906 | media : 314.749448
20 -> 851 | media : 342.535840
21 -> 669 | media : 516.590433
22 -> 516 | media : 656.143411
23 -> 454 | media : 296.081498
24 -> 372 | media : 920.244624
25 -> 340 | media : 674.802941
26 -> 224 | media : 340.834821
27 -> 154 | media : 879.571429
28 -> 112 | media : 386.482143
29 -> 94 | media : 1124.829787
30 -> 82 | media : 1055.902439
31 -> 43 | media : 4349.488372
32 -> 43 | media : 1800.720930
33 -> 34 | media : 1232.588235
34 -> 41 | media : 606.829268
35 -> 37 | media : 550.135135
36 -> 22 | media : 1061.409091
37 -> 5 | media : 3176.000000
38 -> 1 | media : 9772.000000
40 -> 1 | media : 18725.000000
226 -> 3 | media : 744.666667
227 -> 12 | media : 271.833333
228 -> 18 | media : 2028.388889
229 -> 20 | media : 344.250000
230 -> 19 | media : 603.842105
231 -> 33 | media : 194.212121
232 -> 50 | media : 165.560000
233 -> 70 | media : 481.042857
234 -> 75 | media : 400.040000
235 -> 95 | media : 404.084211
236 -> 105 | media : 778.390476
237 -> 111 | media : 866.252252
238 -> 126 | media : 579.706349
239 -> 161 | media : 582.149068
240 -> 164 | media : 1351.341463
241 -> 218 | media : 604.954128
242 -> 276 | media : 420.021739
243 -> 382 | media : 402.528796
244 -> 427 | media : 523.039813
245 -> 483 | media : 355.677019
246 -> 531 | media : 359.834275
247 -> 596 | media : 478.310403
248 -> 799 | media : 548.590738
249 -> 910 | media : 92.683516
250 -> 869 | media : 1423.583429
251 -> 890 | media : 231.250562
252 -> 1038 | media : 890.315992
253 -> 1111 | media : 129.291629
254 -> 1115 | media : 1366.630493
255 -> 1214 | media : 317.504942
256 -> 1280 | media : 237.138281
257 -> 1393 | media : 411.663317
258 -> 1394 | media : 745.631994
259 -> 1438 | media : 156.306676
260 -> 1440 | media : 258.562500
261 -> 1479 | media : 409.163624
262 -> 1476 | media : 93.754065
263 -> 1404 | media : 275.468661
264 -> 1338 | media : 59.164425
265 -> 1241 | media : 1117.494762
266 -> 1120 | media : 154.150893
267 -> 1050 | media : 278.468571
268 -> 1028 | media : 622.324903
269 -> 979 | media : 265.997957
270 -> 894 | media : 1115.782998
271 -> 842 | media : 206.095012
272 -> 760 | media : 482.835526
273 -> 622 | media : 114.188103
274 -> 549 | media : 207.431694
275 -> 379 | media : 786.118734
276 -> 284 | media : 550.253521
277 -> 203 | media : 1146.817734
278 -> 140 | media : 1408.721429
279 -> 99 | media : 1526.535354
280 -> 91 | media : 414.835165
281 -> 62 | media : 1346.258065
282 -> 70 | media : 756.342857
283 -> 29 | media : 773.034483
284 -> 16 | media : 1720.750000
285 -> 7 | media : 8328.000000
286 -> 9 | media : 3262.333333
287 -> 9 | media : 2512.444444
288 -> 8 | media : 1748.000000
289 -> 3 | media : 8092.666667
290 -> 4 | media : 2902.000000
294 -> 1 | media : 1215.000000
