1 -> 9820 | media : 7.742668
2 -> 4832 | media : 59.099752
3 -> 2589 | media : 636.290846
4 -> 1662 | media : 227.892900
5 -> 1228 | media : 108.801303
6 -> 810 | media : 326.197531
7 -> 434 | media : 241.276498
8 -> 316 | media : 571.205696
9 -> 242 | media : 162.177686
10 -> 276 | media : 1066.409420
11 -> 358 | media : 532.033520
12 -> 470 | media : 292.644681
13 -> 591 | media : 336.118443
14 -> 673 | media : 189.386330
15 -> 772 | media : 79.428756
16 -> 819 | media : 84.261294
17 -> 891 | media : 462.381594
18 -> 827 | media : 64.837969
19 -> 732 | media : 250.128415
20 -> 684 | media : 673.586257
21 -> 552 | media : 435.318841
22 -> 462 | media : 570.753247
23 -> 373 | media : 223.179625
24 -> 362 | media : 371.317680
25 -> 290 | media : 412.237931
26 -> 221 | media : 273.479638
27 -> 160 | media : 556.850000
28 -> 146 | media : 487.657534
29 -> 118 | media : 470.711864
30 -> 105 | media : 823.428571
31 -> 102 | media : 2827.539216
32 -> 112 | media : 949.053571
33 -> 116 | media : 323.456897
34 -> 90 | media : 608.555556
35 -> 67 | media : 1117.447761
36 -> 52 | media : 1383.500000
37 -> 35 | media : 1159.942857
38 -> 36 | media : 1704.750000
39 -> 22 | media : 320.818182
40 -> 31 | media : 778.419355
41 -> 14 | media : 413.142857
42 -> 6 | media : 889.666667
43 -> 4 | media : 9043.250000
44 -> 2 | media : 3165.000000
45 -> 1 | media : 23604.000000
46 -> 1 | media : 23603.000000
254 -> 5 | media : 1846.400000
255 -> 13 | media : 6398.692308
256 -> 20 | media : 1194.250000
257 -> 33 | media : 3565.363636
258 -> 42 | media : 1189.642857
259 -> 62 | media : 1961.370968
260 -> 89 | media : 1639.707865
261 -> 105 | media : 1331.247619
262 -> 181 | media : 420.541436
263 -> 200 | media : 901.415000
264 -> 230 | media : 337.708696
265 -> 236 | media : 2468.127119
266 -> 299 | media : 270.438127
267 -> 320 | media : 865.400000
268 -> 380 | media : 633.531579
269 -> 513 | media : 161.350877
270 -> 615 | media : 521.222764
271 -> 683 | media : 279.446559
272 -> 735 | media : 962.677551
273 -> 867 | media : 153.981546
274 -> 922 | media : 186.306941
275 -> 1010 | media : 372.109901
276 -> 1021 | media : 896.550441
277 -> 1098 | media : 244.549180
278 -> 1100 | media : 943.818182
279 -> 1112 | media : 103.129496
280 -> 1128 | media : 157.971631
281 -> 1209 | media : 135.543424
282 -> 1152 | media : 289.989583
283 -> 975 | media : 152.886154
284 -> 941 | media : 358.162593
285 -> 781 | media : 229.719590
286 -> 682 | media : 122.972141
287 -> 554 | media : 1082.577617
288 -> 468 | media : 1264.047009
289 -> 401 | media : 208.760599
290 -> 314 | media : 1088.385350
291 -> 266 | media : 566.383459
292 -> 279 | media : 1266.469534
293 -> 277 | media : 480.480144
294 -> 267 | media : 702.910112
295 -> 245 | media : 1446.493878
296 -> 300 | media : 576.696667
297 -> 326 | media : 295.978528
298 -> 387 | media : 1288.824289
299 -> 369 | media : 863.647696
300 -> 325 | media : 529.843077
301 -> 284 | media : 1024.549296
302 -> 282 | media : 937.996454
303 -> 178 | media : 1703.808989
304 -> 199 | media : 450.271357
305 -> 182 | media : 614.956044
306 -> 163 | media : 650.521472
307 -> 95 | media : 1129.200000
308 -> 71 | media : 1886.380282
309 -> 18 | media : 2812.333333
310 -> 8 | media : 4121.750000
311 -> 1 | media : 147.000000
