1 -> 3354 | media : 27.548599
2 -> 1578 | media : 222.981622
3 -> 809 | media : 1613.585909
4 -> 426 | media : 412.103286
5 -> 254 | media : 398.468504
6 -> 163 | media : 353.950920
7 -> 58 | media : 812.155172
8 -> 32 | media : 3679.218750
9 -> 52 | media : 1348.750000
10 -> 87 | media : 1496.850575
11 -> 141 | media : 786.907801
12 -> 181 | media : 412.613260
13 -> 272 | media : 359.378676
14 -> 342 | media : 172.742690
15 -> 398 | media : 119.256281
16 -> 434 | media : 128.152074
17 -> 439 | media : 692.400911
18 -> 427 | media : 177.119438
19 -> 400 | media : 454.695000
20 -> 332 | media : 616.719880
21 -> 268 | media : 668.033582
22 -> 184 | media : 403.326087
23 -> 152 | media : 789.526316
24 -> 150 | media : 587.926667
25 -> 144 | media : 610.027778
26 -> 124 | media : 381.895161
27 -> 135 | media : 350.703704
28 -> 82 | media : 965.463415
29 -> 61 | media : 1286.950820
30 -> 37 | media : 1245.756757
31 -> 24 | media : 2223.583333
32 -> 23 | media : 1979.000000
33 -> 16 | media : 1786.500000
34 -> 11 | media : 2082.090909
35 -> 7 | media : 2413.857143
36 -> 12 | media : 406.083333
37 -> 10 | media : 2418.100000
38 -> 13 | media : 553.230769
39 -> 13 | media : 830.384615
40 -> 14 | media : 1723.857143
41 -> 2 | media : 3040.000000
263 -> 1 | media : 22828.000000
264 -> 10 | media : 2284.300000
265 -> 11 | media : 5137.181818
266 -> 8 | media : 2695.000000
267 -> 8 | media : 6019.000000
268 -> 19 | media : 5462.473684
269 -> 20 | media : 3446.000000
270 -> 33 | media : 1334.454545
271 -> 51 | media : 1729.196078
272 -> 62 | media : 1074.483871
273 -> 53 | media : 1613.867925
274 -> 79 | media : 1388.860759
275 -> 95 | media : 1821.263158
276 -> 109 | media : 1989.394495
277 -> 147 | media : 581.299320
278 -> 189 | media : 1232.835979
279 -> 254 | media : 423.464567
280 -> 253 | media : 243.913043
281 -> 237 | media : 486.620253
282 -> 220 | media : 712.650000
283 -> 252 | media : 398.690476
284 -> 368 | media : 862.918478
285 -> 384 | media : 986.372396
286 -> 386 | media : 376.450777
287 -> 411 | media : 1467.897810
288 -> 470 | media : 1102.582979
289 -> 448 | media : 162.723214
290 -> 461 | media : 572.318872
291 -> 461 | media : 1004.984816
292 -> 480 | media : 609.931250
293 -> 408 | media : 249.914216
294 -> 348 | media : 135.359195
295 -> 269 | media : 244.081784
296 -> 223 | media : 789.013453
297 -> 152 | media : 656.486842
298 -> 128 | media : 819.093750
299 -> 121 | media : 2187.165289
300 -> 235 | media : 550.272340
301 -> 306 | media : 1313.980392
302 -> 300 | media : 1488.286667
303 -> 424 | media : 774.615566
304 -> 448 | media : 165.542411
305 -> 503 | media : 496.210736
306 -> 532 | media : 645.900376
307 -> 614 | media : 528.861564
308 -> 498 | media : 1054.919679
309 -> 406 | media : 1690.852217
310 -> 351 | media : 697.894587
311 -> 242 | media : 2822.053719
312 -> 115 | media : 1927.573913
313 -> 29 | media : 1283.172414
314 -> 10 | media : 2090.800000
