1 -> 106283 | media : 3.890726
2 -> 66259 | media : 8.205814
3 -> 36853 | media : 7.871842
4 -> 22397 | media : 9.471894
5 -> 15856 | media : 59.336466
6 -> 11992 | media : 34.269596
7 -> 9681 | media : 20.094722
8 -> 8353 | media : 105.694840
9 -> 7253 | media : 36.159244
10 -> 6294 | media : 95.032094
11 -> 5234 | media : 40.957585
12 -> 4324 | media : 85.460222
13 -> 3540 | media : 68.719492
14 -> 3023 | media : 116.244790
15 -> 2299 | media : 122.444541
16 -> 1825 | media : 56.240548
17 -> 1591 | media : 167.905720
18 -> 1348 | media : 121.181009
19 -> 1179 | media : 141.292621
20 -> 915 | media : 116.594536
21 -> 831 | media : 247.938628
22 -> 591 | media : 196.957699
23 -> 467 | media : 232.516060
24 -> 382 | media : 255.484293
25 -> 307 | media : 352.084691
26 -> 300 | media : 281.526667
27 -> 271 | media : 333.011070
28 -> 252 | media : 266.658730
29 -> 213 | media : 363.615023
30 -> 189 | media : 325.253968
31 -> 187 | media : 414.716578
32 -> 179 | media : 378.854749
33 -> 128 | media : 239.289062
34 -> 118 | media : 220.186441
35 -> 97 | media : 378.164948
36 -> 59 | media : 620.762712
37 -> 47 | media : 698.191489
38 -> 38 | media : 671.736842
39 -> 40 | media : 440.900000
40 -> 25 | media : 818.560000
41 -> 13 | media : 1193.153846
42 -> 5 | media : 1179.200000
43 -> 15 | media : 816.533333
44 -> 8 | media : 577.500000
45 -> 3 | media : 2990.666667
46 -> 5 | media : 1983.600000
47 -> 4 | media : 1931.250000
48 -> 8 | media : 1487.250000
49 -> 8 | media : 1091.625000
50 -> 11 | media : 1209.000000
51 -> 7 | media : 585.571429
52 -> 9 | media : 500.444444
53 -> 3 | media : 1995.666667
54 -> 4 | media : 1455.000000
55 -> 1 | media : 527.000000
58 -> 1 | media : 717.000000
59 -> 2 | media : 5892.000000
60 -> 2 | media : 946.500000
61 -> 1 | media : 18.000000
62 -> 3 | media : 33.000000
63 -> 3 | media : 975.666667
64 -> 1 | media : 1744.000000
65 -> 1 | media : 682.000000
69 -> 1 | media : 1060.000000
71 -> 1 | media : 2857.000000
74 -> 1 | media : 488.000000
98 -> 1 | media : 8.000000
99 -> 4 | media : 450.750000
100 -> 8 | media : 289.625000
101 -> 10 | media : 185.000000
102 -> 13 | media : 176.461538
103 -> 8 | media : 235.625000
104 -> 12 | media : 397.916667
105 -> 5 | media : 201.200000
106 -> 6 | media : 152.166667
107 -> 9 | media : 273.555556
108 -> 3 | media : 622.333333
109 -> 11 | media : 241.909091
110 -> 14 | media : 247.785714
111 -> 25 | media : 299.760000
112 -> 29 | media : 232.551724
113 -> 38 | media : 84.789474
114 -> 47 | media : 138.212766
115 -> 48 | media : 63.520833
116 -> 53 | media : 97.754717
117 -> 42 | media : 181.357143
118 -> 39 | media : 130.538462
119 -> 46 | media : 87.913043
120 -> 33 | media : 331.636364
121 -> 47 | media : 198.702128
122 -> 45 | media : 294.000000
123 -> 48 | media : 291.312500
124 -> 53 | media : 125.301887
125 -> 55 | media : 83.745455
126 -> 84 | media : 170.619048
127 -> 87 | media : 430.310345
128 -> 98 | media : 143.367347
129 -> 92 | media : 228.858696
130 -> 104 | media : 153.375000
131 -> 100 | media : 217.880000
132 -> 117 | media : 160.299145
133 -> 120 | media : 167.783333
134 -> 150 | media : 138.986667
135 -> 161 | media : 173.465839
136 -> 165 | media : 317.175758
137 -> 141 | media : 206.851064
138 -> 155 | media : 215.348387
139 -> 192 | media : 256.213542
140 -> 170 | media : 185.311765
141 -> 181 | media : 222.491713
142 -> 227 | media : 208.656388
143 -> 215 | media : 255.609302
144 -> 247 | media : 187.805668
145 -> 267 | media : 144.947566
146 -> 264 | media : 130.943182
147 -> 324 | media : 171.777778
148 -> 334 | media : 152.206587
149 -> 311 | media : 106.861736
150 -> 313 | media : 217.134185
151 -> 333 | media : 215.807808
152 -> 318 | media : 186.635220
153 -> 345 | media : 191.559420
154 -> 372 | media : 198.311828
155 -> 439 | media : 198.997722
156 -> 462 | media : 237.335498
157 -> 484 | media : 129.429752
158 -> 522 | media : 205.509579
159 -> 551 | media : 177.457350
160 -> 560 | media : 136.657143
161 -> 605 | media : 91.145455
162 -> 611 | media : 136.335516
163 -> 624 | media : 225.964744
164 -> 778 | media : 185.586118
165 -> 798 | media : 234.343358
166 -> 851 | media : 126.505288
167 -> 789 | media : 263.461343
168 -> 785 | media : 121.414013
169 -> 849 | media : 199.521790
170 -> 853 | media : 97.996483
171 -> 869 | media : 136.797468
172 -> 948 | media : 138.553797
173 -> 1026 | media : 104.987329
174 -> 1093 | media : 141.862763
175 -> 1179 | media : 90.977099
176 -> 1197 | media : 98.441103
177 -> 1259 | media : 180.881652
178 -> 1346 | media : 163.039376
179 -> 1311 | media : 145.150267
180 -> 1384 | media : 118.538295
181 -> 1464 | media : 101.211066
182 -> 1510 | media : 58.923841
183 -> 1608 | media : 105.682836
184 -> 1701 | media : 142.680776
185 -> 1713 | media : 103.510216
186 -> 1827 | media : 87.201970
187 -> 1847 | media : 120.842989
188 -> 1884 | media : 52.069002
189 -> 1981 | media : 89.985866
190 -> 2009 | media : 73.402190
191 -> 1954 | media : 61.272262
192 -> 2079 | media : 146.091871
193 -> 2075 | media : 111.470361
194 -> 2153 | media : 180.261031
195 -> 2117 | media : 55.613132
196 -> 2125 | media : 151.536471
197 -> 2076 | media : 129.895472
198 -> 1927 | media : 94.059159
199 -> 2016 | media : 190.345734
200 -> 1822 | media : 121.272777
201 -> 1757 | media : 159.459306
202 -> 1730 | media : 88.749711
203 -> 1664 | media : 138.209736
204 -> 1547 | media : 102.892049
205 -> 1450 | media : 297.962759
206 -> 1449 | media : 232.331263
207 -> 1302 | media : 194.943932
208 -> 1192 | media : 219.963087
209 -> 1148 | media : 190.537456
210 -> 1058 | media : 98.850662
211 -> 959 | media : 113.171011
212 -> 878 | media : 272.382688
213 -> 818 | media : 311.817848
214 -> 800 | media : 74.808750
215 -> 732 | media : 135.471311
216 -> 653 | media : 109.513017
217 -> 642 | media : 140.680685
218 -> 607 | media : 181.616145
219 -> 521 | media : 114.621881
220 -> 439 | media : 154.744875
221 -> 388 | media : 347.018041
222 -> 339 | media : 215.315634
223 -> 266 | media : 771.375940
224 -> 226 | media : 91.513274
225 -> 172 | media : 170.075581
226 -> 136 | media : 172.992647
227 -> 92 | media : 486.532609
228 -> 79 | media : 556.974684
229 -> 55 | media : 344.036364
230 -> 44 | media : 550.204545
231 -> 32 | media : 421.031250
232 -> 16 | media : 539.500000
233 -> 27 | media : 127.370370
234 -> 18 | media : 460.444444
235 -> 13 | media : 729.076923
236 -> 7 | media : 370.000000
237 -> 13 | media : 129.307692
