1 -> 1091 | media : 43.478460
2 -> 388 | media : 125.621134
3 -> 137 | media : 1040.912409
4 -> 64 | media : 1783.078125
5 -> 32 | media : 1970.968750
6 -> 18 | media : 2619.333333
7 -> 4 | media : 8701.750000
8 -> 6 | media : 3190.333333
9 -> 2 | media : 19859.500000
10 -> 4 | media : 6357.750000
11 -> 7 | media : 2675.285714
12 -> 16 | media : 2327.000000
13 -> 24 | media : 1358.250000
14 -> 41 | media : 1282.195122
15 -> 51 | media : 750.294118
16 -> 55 | media : 695.909091
17 -> 41 | media : 731.756098
18 -> 50 | media : 761.720000
19 -> 44 | media : 804.272727
20 -> 49 | media : 1059.061224
21 -> 36 | media : 913.500000
22 -> 28 | media : 1210.178571
23 -> 11 | media : 2988.454545
24 -> 6 | media : 8689.000000
25 -> 8 | media : 4232.875000
26 -> 1 | media : 32724.000000
283 -> 1 | media : 32724.000000
284 -> 7 | media : 4837.571429
285 -> 6 | media : 8675.833333
286 -> 9 | media : 3763.666667
287 -> 16 | media : 3739.937500
288 -> 23 | media : 3427.826087
289 -> 24 | media : 1474.500000
290 -> 37 | media : 2092.567568
291 -> 40 | media : 1875.275000
292 -> 41 | media : 928.926829
293 -> 61 | media : 629.491803
294 -> 47 | media : 814.340426
295 -> 46 | media : 1441.500000
296 -> 36 | media : 1826.833333
297 -> 25 | media : 1799.040000
298 -> 19 | media : 636.473684
299 -> 24 | media : 792.291667
300 -> 15 | media : 2647.933333
301 -> 5 | media : 7945.200000
302 -> 8 | media : 4965.375000
303 -> 14 | media : 4139.000000
304 -> 14 | media : 2516.857143
305 -> 28 | media : 2433.642857
306 -> 53 | media : 1217.132075
307 -> 113 | media : 680.380531
308 -> 225 | media : 548.462222
309 -> 281 | media : 1841.138790
310 -> 208 | media : 2076.798077
311 -> 259 | media : 2421.718147
312 -> 302 | media : 1856.897351
313 -> 181 | media : 437.767956
314 -> 65 | media : 2134.676923
315 -> 47 | media : 3710.595745
