1 -> 1093870624 | media : 0.000043
2 -> 171 | media : 274.719298
3 -> 86 | media : 959.697674
4 -> 49 | media : 2870.346939
5 -> 25 | media : 1873.000000
6 -> 5 | media : 9395.600000
7 -> 9 | media : 5238.666667
8 -> 8 | media : 4368.625000
304 -> 1 | media : 35037.000000
305 -> 2 | media : 17522.500000
306 -> 9 | media : 3915.111111
307 -> 19 | media : 1855.105263
308 -> 34 | media : 1956.705882
309 -> 39 | media : 1684.179487
310 -> 65 | media : 3751.738462
311 -> 111 | media : 1896.729730
312 -> 141 | media : 1388.312057
313 -> 151 | media : 295.728477
314 -> 127 | media : 2892.133858
315 -> 71 | media : 6061.704225
