1 -> 717 | media : 66.157601
2 -> 332 | media : 142.873494
3 -> 120 | media : 687.808333
4 -> 68 | media : 1385.529412
5 -> 39 | media : 1204.717949
6 -> 18 | media : 2619.333333
7 -> 9 | media : 3867.444444
8 -> 8 | media : 2411.250000
9 -> 1 | media : 39721.000000
12 -> 4 | media : 2007.500000
13 -> 5 | media : 1603.200000
14 -> 9 | media : 2167.111111
15 -> 18 | media : 2125.888889
16 -> 17 | media : 2251.470588
17 -> 14 | media : 2820.428571
18 -> 10 | media : 3296.700000
19 -> 15 | media : 2196.933333
20 -> 15 | media : 1229.266667
21 -> 21 | media : 1554.666667
22 -> 2 | media : 3441.500000
23 -> 2 | media : 3469.000000
24 -> 1 | media : 6938.000000
25 -> 2 | media : 16931.500000
284 -> 1 | media : 25878.000000
286 -> 2 | media : 9651.500000
287 -> 3 | media : 2311.333333
288 -> 6 | media : 2293.500000
289 -> 11 | media : 2968.000000
290 -> 11 | media : 5456.909091
291 -> 14 | media : 3342.142857
292 -> 13 | media : 5484.000000
293 -> 11 | media : 3005.636364
294 -> 20 | media : 1911.150000
295 -> 15 | media : 4861.200000
296 -> 12 | media : 2656.083333
297 -> 13 | media : 2943.538462
298 -> 7 | media : 2917.285714
299 -> 5 | media : 1603.200000
300 -> 4 | media : 2007.500000
303 -> 3 | media : 16170.333333
304 -> 6 | media : 6620.166667
305 -> 13 | media : 2523.538462
306 -> 31 | media : 3062.903226
307 -> 54 | media : 1324.925926
308 -> 95 | media : 1201.873684
309 -> 148 | media : 1504.452703
310 -> 165 | media : 2324.490909
311 -> 191 | media : 2274.633508
312 -> 240 | media : 2337.554167
313 -> 194 | media : 232.056701
314 -> 91 | media : 1517.043956
315 -> 33 | media : 8350.363636
